voter_id,nombre,partido,legislatura,dim_1,dim_2
P00130,Arellano Arellano Joel,PAN,LX,-0.225382,-0.891164
P00131,Castro Muñoz Juan de Dios,PAN,LX,-0.086344,-0.91363
P00132,Corral Aguilar María Mercedes,PAN,LX,-0.586683,-0.5831
P00133,Espinosa Piña José Luis,PAN,LX,-0.475526,-0.417297
P00134,García Reyes Ángel Humberto,PAN,LX,-0.743392,-0.11599
P00135,García Vivián Raúl,PAN,LX,-0.597277,-0.417832
P00136,Landero Gutiérrez Alejandro,PAN,LX,-0.456322,-0.79977
P00137,Medina Rodríguez Delber,PAN,LX,0.082172,-0.996618
P00138,Montes Sánchez Fabián Fernando,PAN,LX,-0.786995,-0.61696
P00139,Padilla Orozco Raúl Alejandro,PAN,LX,-0.417004,-0.609995
P00140,Palafox Núñez José Inés,PAN,LX,-0.446105,-0.493531
P00141,Ramírez Pech Edgar Martín,PAN,LX,-0.487624,-0.373729
P00142,Serrato Castell Luis Gerardo,PAN,LX,-0.780731,-0.426044
P00143,Acosta Dávila Constantino,PAN,LX,-0.500588,-0.322786
P00144,Aguilar López José Alejandro,PT,LXV,0.632409,-0.618007
P00145,Alcalde Virgen Moisés,PAN,LX,-0.416991,-0.609252
P00146,Alcaraz Hernández Alma Edwviges,PAN,LX,-0.171731,-0.737668
P00147,Álvarez Bernal María Elena,PAN,LX,-0.763849,-0.072809
P00148,Amezola Fonceca Gerardo,PAN,LX,-0.615737,-0.751873
P00149,Aranda Orozco Gerardo,PAN,LX,-0.492265,-0.700324
P00150,Arenas Guzmán Margarita,PAN,LX,-0.58647,-0.581165
P00151,Arizmendi Uribe Efraín,PAN,LX,-0.46735,-0.570895
P00152,Armendáriz García Pedro,PAN,LX,-0.561325,-0.650791
P00153,Arredondo Ibarra Salvador,PAN,LX,-0.713735,-0.687982
P00154,Arredondo Velázquez Jesús,PAN,LX,-0.880554,-0.456925
P00155,Ávila Mayo Obdulio,PAN,LX,-0.416822,-0.573756
P00156,Barradas Miravete Gregorio,PAN,LX,-0.561236,-0.63253
P00157,Barrios Rodríguez Juan Enrique,PAN,LX,-0.421152,-0.776915
P00158,Bello Pérez Alfonso Othón,PAN,LX,-0.768409,-0.639959
P00159,Berber Martínez Antonio,PAN,LX,-0.723333,-0.613644
P00160,Bermúdez Viramontes Andrés,PAN,LX,-0.212711,-0.682908
P00161,Bolaños Aguilar Edmundo Javier,PAN,LXIII,-0.29955,-0.905877
P00162,Borboa Becerra Omar Antonio,PAN,LXII,-0.999674,-0.025504
P00163,Borrego Estrada Felipe,PAN,LX,-0.509583,-0.338076
P00164,Bracho González Carlos Augusto,PAN,LX,-0.741646,-0.034421
P00165,Buganza Salmerón Gerardo,PAN,LX,-0.526133,-0.301665
P00166,Campos Galván María Eugenia,PAN,LX,-0.253763,-0.908524
P00167,Carbajal Méndez Liliana,PAN,LX,0.737192,-0.675683
P00168,Carbajal Tejada Rogelio,PAN,LX,-0.46237,-0.386406
P00169,Cárdenas Gutiérrez Gustavo Adolfo,MC,LXIII,-0.452403,-0.787703
P00170,Cárdenas Sánchez Esmeralda,PAN,LX,-0.890645,-0.446438
P00171,Carrasco Altamirano Diódoro Humberto,PAN,LX,-0.764408,-0.54741
P00172,Castaño Contreras Cristián,PAN,LX,-0.620901,-0.469732
P00173,Castro De la Rosa Osiel,PAN,LX,-0.46077,-0.528437
P00174,Castro Romero Ma. Sofía Del Perpetuo Socorro,PAN,LX,-0.476002,-0.360921
P00175,Ceja Romero Ramón,PAN,LX,-0.24645,-0.882353
P00176,Chávez García Daniel,PAN,LX,-0.487153,-0.362295
P00177,Collado Lara Beatriz,PAN,LX,-0.311454,-0.842956
P00178,Contreras Coeto José Luis,PAN,LX,-0.586412,-0.581187
P00179,Cuen Garibi Marcela,PAN,LX,-0.801764,-0.597641
P00180,Cuevas Melo Abel Ignacio,PAN,LX,-0.551939,-0.357828
P00181,Curiel Preciado Leobardo,PAN,LX,-0.508709,-0.334972
P00182,Dávila Fernández Adriana,PAN,LXIV,-0.952349,-4.1e-05
P00183,Dávila  García Francisco,PAN,LX,-0.46133,-0.564403
P00184,De León Tello Jesús,PAN,LX,-0.18477,-0.889076
P00185,De la Torre Jaramillo Eduardo Sergio,PAN,LX,-0.814065,0.199886
