voter_id,nombre,partido,dim_1,dim_2,legislatura
P00130,Arellano Arellano Joel,PAN,0.893895,-0.067841,LX
P00131,Castro Muñoz Juan de Dios,PAN,0.641592,0.035659,LX
P00132,Corral Aguilar María Mercedes,PAN,0.773535,-0.387138,LX
P00133,Espinosa Piña José Luis,PAN,0.531329,-0.52264,LX
P00134,García Reyes Ángel Humberto,PAN,0.753192,-0.657038,LX
P00135,García Vivián Raúl,PAN,0.680237,-0.318435,LX
P00136,Landero Gutiérrez Alejandro,PAN,0.860889,-0.389048,LX
P00137,Medina Rodríguez Delber,PAN,0.874682,-0.484698,LX
P00138,Montes Sánchez Fabián Fernando,PAN,0.788795,-0.614656,LX
P00139,Padilla Orozco Raúl Alejandro,PAN,0.627985,-0.501893,LX
P00140,Palafox Núñez José Inés,PAN,0.60151,-0.353063,LX
P00141,Ramírez Pech Edgar Martín,PAN,0.574614,-0.446767,LX
P00142,Serrato Castell Luis Gerardo,PAN,0.786688,-0.371103,LX
P00143,Acosta Dávila Constantino,PAN,0.530487,-0.515919,LX
P00144,Aguilar López José Alejandro,PAN,0.540834,-0.489196,LX
P00145,Alcalde Virgen Moisés,PAN,0.734172,-0.224215,LX
P00146,Alcaraz Hernández Alma Edwviges,PAN,0.396941,-0.88185,LX
P00147,Álvarez Bernal María Elena,PAN,0.677848,-0.018283,LX
P00148,Amezola Fonceca Gerardo,PAN,0.861006,-0.457326,LX
P00149,Aranda Orozco Gerardo,PAN,0.832192,-0.226208,LX
P00150,Arenas Guzmán Margarita,PAN,0.773455,-0.390091,LX
P00151,Arizmendi Uribe Efraín,PAN,0.633896,-0.361148,LX
P00152,Armendáriz García Pedro,PAN,0.784779,-0.359196,LX
P00153,Arredondo Ibarra Salvador,PAN,0.831867,-0.554975,LX
P00154,Arredondo Velázquez Jesús,PAN,0.88123,-0.103554,LX
P00155,Ávila Mayo Obdulio,PAN,0.608234,-0.415502,LX
P00156,Barradas Miravete Gregorio,PAN,0.789542,-0.487977,LX
P00157,Barrios Rodríguez Juan Enrique,PAN,0.757045,-0.508213,LX
P00158,Bello Pérez Alfonso Othón,PAN,0.910347,-0.308444,LX
P00159,Berber Martínez Antonio,PAN,0.871827,-0.489814,LX
P00160,Bermúdez Viramontes Andrés,PAN,0.800859,0.206898,LX
P00161,Bolaños Aguilar Edmundo Javier,PAN,0.811935,-0.534079,LX
P00162,Borboa Becerra Omar Antonio,PAN,0.776581,-0.423849,LX
