rank,person_id,nombre,partido,disidencia_pct,total_votaciones,votos_disidentes
1,P00952,Jiménez Case Fuensanta Patricia,PRI,100.0,41,41
2,P01377,Ledesma Romo Laura Elena,PVEM,100.0,41,41
3,P01376,Garza Romo Kattia,PVEM,100.0,11,11
4,P01108,Montiel Solis Sara Gabriela,PRI,97.6,41,40
5,P01399,Nava Pérez Anel Patricia,PT,97.6,41,40
6,P02657,Mora González Jesús Antonio,PRD,93.5,77,72
7,P01409,Kahwagi Macari Jorge Antonio,NA,87.0,738,642
8,P01811,Gómez Montero Fátima del Sol,PRI,86.4,110,95
9,P00720,Peña Damacio Efraín,PRD,85.7,14,12
10,P01013,Borge Angulo Roberto,PRI,82.9,70,58
