legislatura,partido,n_legisladores,disciplina_media,disciplina_std,dispersion_d1,dispersion_d2,centroide_d1,centroide_d2,n_votos_partido,n_votaciones,org_id,shapley_shubik,banzhaf_pct,n_calificadas
LX,MORENA,170,0.6657564705882353,0.10425409667662981,0.2738023101279974,0.33177339480431306,-0.7111934176470588,-0.07204078823529411,93732,590,O11,,,
LX,PAN,242,0.786005785123967,0.1243303915921099,0.15748187197540747,0.2709296502841293,0.7158347107438017,-0.35123451652892557,121117,590,O12,0.0,0.0,41.0
LX,PRI,119,0.6554462184873949,0.07953002288861563,0.16318010508551975,0.34404197257501556,0.0407156974789916,0.2620670756302521,61848,590,O15,0.0,0.0,41.0
LX,PT,12,0.6878166666666666,0.039516183872924604,0.010850169620235404,0.0363080531032926,-0.8508166666666667,-0.3850371666666667,6490,590,O14,0.0,0.0,41.0
LX,PVEM,26,0.7457884615384616,0.09850985870225609,0.09976974994896999,0.3186890620690403,0.239767,0.6307367307692308,9986,590,O13,0.0,0.0,41.0
LXI,MC,6,0.6505166666666666,0.08905188188166867,0.03113414153626207,0.03421095037947159,-0.6746979999999999,0.09577833333333334,4409,738,O16,0.0,0.0,78.0
LXI,MORENA,91,0.6426087912087912,0.09863431975213813,0.48282871610330214,0.26367026618459644,-0.6315922417582418,-0.16326236263736263,54929,738,O11,,,
LXI,PAN,160,0.7068375,0.12123265057746507,0.34831530675901795,0.1454484691169449,0.3507830125,-0.7489092,103100,738,O12,0.0,0.0,78.0
LXI,PRI,295,0.691635593220339,0.13197811888668504,0.3941682685054905,0.20198339374488714,0.19135437627118645,0.21801104406779662,175810,738,O15,0.0,0.0,78.0
LXI,PT,14,0.6531928571428571,0.11069423905714136,0.14646307307051235,0.06174982736906954,-0.9375547857142857,0.16264442857142858,10167,738,O14,0.0,0.0,78.0
LXI,PVEM,26,0.708823076923077,0.10019345410830914,0.520630847876819,0.2555066193523279,0.5263381538461538,0.11427115384615384,16130,738,O13,0.0,0.0,78.0
LXII,MC,22,0.7202363636363637,0.09540948113740631,0.0730228786466702,0.06320565723769103,0.9416703181818182,0.0969310909090909,12810,687,O16,0.0,0.0,37.0
LXII,MORENA,136,0.7359970588235294,0.11762416225776473,0.4646269106248217,0.2235871492718321,0.5618246838235295,-0.40303341911764706,75491,687,O11,,,
LXII,PAN,143,0.8397153846153846,0.08511746010759445,0.14060710071631563,0.13664128923081093,-0.05711606293706294,0.6192195454545455,77927,687,O12,0.0,0.0,37.0
LXII,PRI,280,0.871935,0.09514553796298184,0.11960606437827564,0.15027688458802207,-0.6102822,-0.29351034642857143,145746,687,O15,0.0,0.0,37.0
LXII,PT,16,0.68998125,0.11258150362441129,0.029274630456819325,0.14023471932726156,0.951240625,-0.2267655625,9306,687,O14,0.0,0.0,37.0
LXII,PVEM,28,0.7978964285714286,0.11749215728638879,0.155419027327763,0.14677882207801118,-0.7917747857142857,-0.19980235714285713,18475,687,O13,0.0,0.0,37.0
LXIII,MC,28,0.8403392857142856,0.11629297083718164,0.37134756320355855,0.30746975536060117,0.6808270357142857,-0.09407021428571428,14778,714,O16,0.0,0.0,33.0
LXIII,MORENA,164,0.7515396341463414,0.15458891166471583,0.6360269559324895,0.33599396851163355,0.4979186341463414,0.04011363414634146,90699,714,O11,0.0,0.0,33.0
LXIII,PAN,134,0.7938320895522388,0.11071010685348798,0.22435973338373605,0.1969033479413555,-0.24448896268656717,0.5571195895522388,74696,714,O12,0.0,0.0,33.0
LXIII,PRI,268,0.8101138059701493,0.13665990371845263,0.1962784845960916,0.12188566070018887,-0.38593130970149253,-0.5584518917910448,141504,714,O15,0.0,0.0,33.0
LXIII,PVEM,51,0.7091529411764707,0.11624168332047018,0.2670645326173492,0.28507050790199184,-0.5065597254901961,-0.6417583137254903,27007,714,O13,0.0,0.0,33.0
LXIV,MC,32,0.8957125,0.08091584935857343,0.03847501332368924,0.09330993913695333,-0.70865925,0.0026675000000000023,16832,709,O16,0.0,0.0,68.0
LXIV,MORENA,345,0.8729663768115943,0.09569504327840228,0.449012073053158,0.3152374967353676,0.3032568144927536,0.17847976811594202,205039,709,O11,0.0,0.0,68.0
LXIV,PAN,99,0.8385393939393939,0.09836877285550698,0.10967914770976452,0.1392378879417861,-0.883077808080808,0.3622839797979798,55258,709,O12,0.0,0.0,68.0
LXIV,PRI,60,0.8444433333333333,0.0954985692796666,0.21398221832329475,0.13226104730335148,-0.6787568666666667,-0.6660610166666667,34052,709,O15,0.0,0.0,68.0
LXIV,PT,48,0.8289708333333333,0.10901502913825316,0.2906576684702711,0.2153458385081174,0.7408266458333334,-0.34385404166666667,31032,709,O14,0.0,0.0,68.0
LXIV,PVEM,13,0.8105153846153846,0.08259955454030254,0.554000524474805,0.35361361640388056,0.23911876923076925,-0.4946923076923077,7609,709,O13,0.0,0.0,68.0
LXV,MC,33,0.8881060606060607,0.07923649308949259,0.43143952251477874,0.2934148645130898,-0.7301080303030304,0.3267182121212121,15394,689,O16,0.0,0.0,25.0
LXV,MORENA,254,0.9208267716535432,0.06289018718434569,0.32433858071664745,0.18705292788299055,0.3480301377952756,-0.3897514409448819,136857,689,O11,0.0,0.0,25.0
LXV,PAN,139,0.9281043165467625,0.05047404106877231,0.13064672389013718,0.16525273579542704,-0.7089677338129496,-0.3116391798561151,69355,689,O12,0.0,0.0,25.0
LXV,PRI,81,0.9019691358024692,0.05913209289796723,0.10617763911325301,0.12392190119910201,-0.5115866172839506,0.053942555555555556,42543,689,O15,0.0,0.0,25.0
LXV,PT,37,0.9217027027027027,0.06685733769455379,0.2394546625166682,0.17319536301471034,0.512024027027027,-0.23158362162162166,22430,689,O14,0.0,0.0,25.0
