legislatura,partido,gap_disciplina,gap_nominate_d1,t_stat,p_value,u_stat,p_value_mwu,significant
LX,MORENA,0.011029,0.069008,0.6273,0.532694,2476.0,0.563226,False
LX,PAN,0.022672,-0.043419,1.3547,0.177543,6197.5,0.335123,False
LX,PRI,-0.014306,-0.034972,-0.9281,0.356821,1219.0,0.343444,False
LX,PVEM,0.032604,-0.063882,0.8062,0.429986,98.0,0.288844,False
LXI,MORENA,0.03212,0.039721,1.4724,0.146789,1003.5,0.179348,False
LXI,PAN,0.002617,-0.007858,0.1256,0.90028,2786.5,0.75421,False
LXI,PRI,0.00603,-0.010234,0.3528,0.724671,9271.5,0.733378,False
LXI,PT,-0.034273,-0.05526,-0.4544,0.667359,21.0,0.893814,False
LXI,PVEM,0.027371,-0.106467,0.598,0.560247,77.0,0.627564,False
LXII,MC,0.009415,0.02749,0.242,0.811294,60.0,0.946758,False
LXII,MORENA,-0.006141,0.040654,-0.2869,0.774787,2035.5,0.856234,False
LXII,PAN,0.014907,0.043736,1.0408,0.299877,2684.0,0.330647,False
LXII,PRI,0.052464,0.007371,4.8551,2e-06,12370.5,1e-06,True
LXII,PT,0.151994,-0.010345,3.8436,0.002941,50.0,0.004795,True
LXII,PVEM,0.038783,-0.049922,0.9396,0.357104,108.0,0.593328,False
LXIII,MC,-0.0961,-0.043334,-2.1533,0.047067,55.0,0.060086,True
LXIII,MORENA,-0.002133,-0.067039,-0.0857,0.931838,2825.0,0.711128,False
LXIII,PAN,0.034921,-0.046617,1.8312,0.069522,2481.0,0.054777,False
LXIII,PRI,0.025505,0.025371,1.5567,0.120732,9385.5,0.29484,False
LXIII,PVEM,0.036079,0.024957,1.087,0.283748,332.0,0.211391,False
LXIV,MC,0.02413,0.008118,0.8171,0.421938,116.5,0.63075,False
LXIV,MORENA,0.000403,0.040232,0.0381,0.969639,14498.0,0.468687,False
LXIV,PAN,-0.012365,0.024483,-0.6076,0.544995,1112.5,0.618781,False
LXIV,PRI,0.04846,0.027443,1.9936,0.051464,548.0,0.088037,False
LXIV,PT,0.020583,-0.046985,0.65,0.518907,322.0,0.489717,False
LXIV,PVEM,0.021948,-0.173439,0.4774,0.642944,26.0,0.519743,False
LXV,MC,0.055287,0.103836,2.1232,0.043211,183.0,0.037789,True
LXV,MORENA,0.021059,0.058004,2.6835,0.007781,9821.5,0.001653,True
LXV,PAN,-0.001635,0.028585,-0.1888,0.850535,2308.0,0.760733,False
LXV,PRI,0.009108,0.029306,0.6846,0.495608,889.0,0.383229,False
LXV,PT,0.004196,0.147424,0.1818,0.856883,142.0,0.728855,False
LXV,PVEM,0.013336,-0.039339,0.6993,0.487617,389.0,0.335182,False
LXVI,MC,0.006717,-0.012854,0.2698,0.789685,118.5,0.538854,False
LXVI,MORENA,0.002575,-0.01023,0.238,0.812136,8153.5,0.708546,False
LXVI,PAN,0.008054,-0.009424,0.4686,0.640916,807.0,0.25775,False
LXVI,PRI,-0.011425,-0.000404,-0.4701,0.641778,158.5,0.686697,False
LXVI,PT,0.004118,-0.094553,0.1725,0.86375,263.5,0.666357,False
LXVI,PVEM,0.020631,0.052497,1.088,0.281007,657.5,0.268311,False
