legislatura,partido,genero,n_personas,disciplina_mean,disciplina_std
LX,MORENA,F,35,0.6739485714285715,0.08774742285951992
LX,MORENA,M,133,0.6629195488721805,0.10888980978747513
LX,PAN,F,70,0.79952,0.11124485540946365
LX,PAN,M,164,0.7768475609756098,0.13017150152766002
LX,PRI,F,32,0.64523125,0.07102172969387378
LX,PRI,M,86,0.6595372093023255,0.08293055499705994
LX,PT,M,9,0.6895333333333333,0.0319632601591264
LX,PVEM,F,12,0.7591583333333333,0.11727661518690315
LX,PVEM,M,13,0.7265538461538461,0.07975382556534635
LXI,MORENA,F,27,0.6660296296296296,0.09225676049780775
LXI,MORENA,M,63,0.6339095238095238,0.10061147358781465
LXI,PAN,F,53,0.7090981132075471,0.1249581275876752
LXI,PAN,M,102,0.7064813725490195,0.11919170906975346
LXI,PRI,F,90,0.69491,0.13642882578699408
LXI,PRI,M,201,0.6888796019900497,0.13095739777439383
LXI,PT,F,5,0.63116,0.15628617341274942
LXI,PT,M,9,0.6654333333333333,0.08501074932030656
LXI,PVEM,F,8,0.7277125,0.10937760854032237
LXI,PVEM,M,17,0.7003411764705882,0.10096365100138473
LXII,MC,F,9,0.7258,0.06984470273399408
LXII,MC,M,13,0.7163846153846154,0.1124220607513923
LXII,MORENA,F,50,0.73359,0.12107899639221886
LXII,MORENA,M,83,0.7397313253012048,0.11704002018041484
LXII,PAN,F,59,0.8484067796610169,0.08085865459064505
LXII,PAN,M,83,0.8334999999999999,0.08847650921531
LXII,PRI,F,118,0.9018042372881356,0.07695972572457191
LXII,PRI,M,156,0.8493397435897437,0.10191111033766839
LXII,PT,F,6,0.7853833333333333,0.03757783477885159
LXII,PT,M,9,0.6333888888888889,0.10934212871126621
LXII,PVEM,F,12,0.8200583333333333,0.0718974833082536
LXII,PVEM,M,16,0.781275,0.14272189974445643
LXIII,MC,F,12,0.785425,0.1399189448801113
LXIII,MC,M,16,0.881525,0.07592624052328682
LXIII,MORENA,F,58,0.7466051724137931,0.14457306830125702
LXIII,MORENA,M,101,0.7487386138613862,0.16185533291819396
LXIII,PAN,F,56,0.8149964285714286,0.10540391740914949
LXIII,PAN,M,74,0.7800756756756757,0.11058654183868208
LXIII,PRI,F,118,0.825478813559322,0.11901815407865199
LXIII,PRI,M,148,0.7999736486486487,0.14819110265574212
LXIII,PVEM,F,17,0.7334882352941177,0.10214250389990046
LXIII,PVEM,M,32,0.697409375,0.124967191460528
LXIV,MC,F,15,0.9111733333333334,0.06666571689799644
LXIV,MC,M,14,0.8870428571428571,0.08978987191716613
LXIV,MORENA,F,167,0.8715580838323352,0.10394463037722536
LXIV,MORENA,M,166,0.8711548192771085,0.08869335977142201
LXIV,PAN,F,43,0.8317511627906977,0.10269412597865807
LXIV,PAN,M,55,0.8441163636363637,0.09636359725239027
LXIV,PRI,F,30,0.8664533333333334,0.07900307167024163
LXIV,PRI,M,29,0.8179931034482758,0.10536611996487869
LXIV,PT,F,24,0.8392624999999999,0.10796676144113501
LXIV,PT,M,24,0.8186791666666666,0.11138847407069147
LXIV,PVEM,F,6,0.8223333333333334,0.06495172566350078
LXIV,PVEM,M,7,0.8003857142857144,0.09934984362630588
LXV,MC,F,15,0.9154866666666667,0.05401089660782304
LXV,MC,M,17,0.8602,0.09066694546525762
LXV,MORENA,F,131,0.9311290076335879,0.05989535552630955
LXV,MORENA,M,122,0.9100696721311475,0.06459559881809654
LXV,PAN,F,68,0.927364705882353,0.05234598094226267
LXV,PAN,M,70,0.929,0.04930513393029227
LXV,PRI,F,42,0.9061785714285714,0.062267093982547136
LXV,PRI,M,38,0.897071052631579,0.05671659706510788
LXV,PT,F,17,0.922535294117647,0.05964184710813865
LXV,PT,M,18,0.9183388888888889,0.07631021162788643
LXV,PVEM,F,24,0.9310499999999999,0.06566617155702413
LXV,PVEM,M,28,0.9177142857142858,0.07177641578146587
LXVI,MC,F,13,0.9154923076923077,0.07220016691507092
LXVI,MC,M,16,0.908775,0.059163789601410756
LXVI,MORENA,F,151,0.9022039735099338,0.07662601114573277
LXVI,MORENA,M,111,0.8996288288288289,0.09317604099707508
LXVI,PAN,F,35,0.9023314285714287,0.08176636649060313
LXVI,PAN,M,40,0.8942775,0.06460521328293355
LXVI,PRI,F,15,0.8920666666666667,0.07463874584257416
LXVI,PRI,M,23,0.9034913043478261,0.07099293122970046
LXVI,PT,F,19,0.9000684210526315,0.06651601354921634
LXVI,PT,M,30,0.8959499999999999,0.10052382716344523
LXVI,PVEM,F,27,0.9261814814814815,0.07405481357147162
LXVI,PVEM,M,42,0.90555,0.08106751552360988
