legislatura,partido,genero,centroid_d1,centroid_d2,std_d1,std_d2
LX,MORENA,F,-0.6546090285714286,-0.011911685714285717,0.3546092023355957,0.4310534139568656
LX,MORENA,M,-0.7236169849624061,-0.08337774436090226,0.24926664432712584,0.30048763637049203
LX,PAN,F,0.6832581571428572,-0.3739546714285714,0.17850698046089067,0.3025785565007522
LX,PAN,M,0.7266770548780488,-0.3492991524390244,0.146640525883668,0.25308821106237994
LX,PRI,F,0.014666687500000003,0.22708059375,0.17045530569197415,0.2428967492579006
LX,PRI,M,0.049638488372093025,0.27881977906976746,0.16118767285881708,0.37529030424783566
LX,PT,M,-0.8518188888888889,-0.394033,0.0088954262607877,0.012124806885060072
LX,PVEM,F,0.2031349166666667,0.5032208333333333,0.13427682413747716,0.43625448110328563
LX,PVEM,M,0.2670173846153846,0.7393138461538461,0.03816569834624294,0.08321800571575656
LXI,MORENA,F,-0.6021783333333333,-0.16801114814814813,0.5211930229908921,0.3139756535625878
LXI,MORENA,M,-0.6418990158730159,-0.15874114285714283,0.47293509473429696,0.2432129012485508
LXI,PAN,F,0.3476242641509434,-0.7485454905660377,0.38289136033431165,0.15511144074721825
LXI,PAN,M,0.35548180392156864,-0.7502765196078431,0.32977969364329596,0.14141685648995175
LXI,PRI,F,0.17802737777777777,0.21209281111111114,0.4006598096008149,0.2107267417935345
LXI,PRI,M,0.18826130348258707,0.21678334825870646,0.38826054918263647,0.19460767677974092
LXI,PT,F,-0.973079,0.1442148,0.03430545141081806,0.05578251067494184
LXI,PT,M,-0.9178191111111111,0.17288311111111113,0.1817779677226069,0.06565158958937027
LXI,PVEM,F,0.44687025,-0.06079412500000001,0.5964077378888061,0.32488528024934654
LXI,PVEM,M,0.5533369411764706,0.1839368823529412,0.5118799993219201,0.1800701273670491
LXII,MC,F,0.9579142222222222,0.12175211111111112,0.026017855521630617,0.03734230699703904
LXII,MC,M,0.9304245384615384,0.0797473076923077,0.09244136358129533,0.07266077314065297
LXII,MORENA,F,0.58392804,-0.38616164,0.47337675261332074,0.24738319099206954
LXII,MORENA,M,0.5432744939759037,-0.4115970722891566,0.4691375404408728,0.21207285135335224
LXII,PAN,F,-0.03329359322033898,0.609939813559322,0.14336098715854695,0.13915212730137883
LXII,PAN,M,-0.0770297951807229,0.6251581807228915,0.13469891901731484,0.13602360550144704
LXII,PRI,F,-0.6048636101694915,-0.28133880508474574,0.07333718972051725,0.14749635118994062
LXII,PRI,M,-0.6122343012820513,-0.3008328846153846,0.14600990860107999,0.15085858097068858
LXII,PT,F,0.9425408333333333,-0.28129166666666666,0.02624166838763625,0.07559348372357677
LXII,PT,M,0.9528858888888888,-0.1989047777777778,0.03069067206190034,0.17166528707107456
LXII,PVEM,F,-0.8203014999999999,-0.171775,0.12717669762935774,0.13265109400570013
LXII,PVEM,M,-0.77037975,-0.220822875,0.1745823054976267,0.15740245288638294
LXIII,MC,F,0.6560646666666666,-0.19675425,0.5213938837965251,0.11675866925346874
LXIII,MC,M,0.6993988125,-0.017057187500000008,0.2190934757620496,0.38132522183865025
LXIII,MORENA,F,0.44437139655172414,0.001635706896551722,0.713839007782025,0.29628934734561674
LXIII,MORENA,M,0.5114102079207921,0.07254731683168317,0.6002972064479781,0.3569367965579601
LXIII,PAN,F,-0.27130151785714285,0.5809894821428572,0.19968654657027676,0.2312453905407132
LXIII,PAN,M,-0.22468491891891892,0.5405590810810811,0.242413791178262,0.17014348370107665
LXIII,PRI,F,-0.36735438983050844,-0.5735041186440678,0.19206223013241436,0.10332331625965074
LXIII,PRI,M,-0.39272495945945946,-0.5526044324324324,0.1884128525674684,0.12427704378733505
LXIII,PVEM,F,-0.5079672352941177,-0.617450705882353,0.267015487952368,0.3720527841326357
LXIII,PVEM,M,-0.53292403125,-0.6325225,0.2553944981705228,0.2260820851870314
LXIV,MC,F,-0.7053320666666667,0.0016025333333333344,0.012145444504402676,0.042683158947004356
LXIV,MC,M,-0.713449642857143,0.005664785714285717,0.05749322803815463,0.13622077066866836
LXIV,MORENA,F,0.3190956407185629,0.1663502275449102,0.46731857226609547,0.34671720650643023
LXIV,MORENA,M,0.27886392168674695,0.18333515060240962,0.43830291498959445,0.28479252894368695
LXIV,PAN,F,-0.8689626046511628,0.3717003953488372,0.15980670446140915,0.14305708925546032
LXIV,PAN,M,-0.8934458363636364,0.3543743090909091,0.04092936438085589,0.13825897425495504
LXIV,PRI,F,-0.6654207333333333,-0.6452287,0.29346325558981784,0.167076392456317
LXIV,PRI,M,-0.6928640689655172,-0.6858822068965518,0.08298597199954556,0.08358836087312434
LXIV,PT,F,0.7173342083333334,-0.352801125,0.3668768225635765,0.25119159313305617
LXIV,PT,M,0.7643190833333334,-0.33490695833333334,0.19205859183794766,0.17748136762524855
LXIV,PVEM,F,0.14572833333333332,-0.5199123333333333,0.5803887907458816,0.4569991084353083
LXIV,PVEM,M,0.31916771428571433,-0.4730751428571428,0.5629620702098009,0.2736124814565475
LXV,MC,F,-0.7061381999999999,0.43817160000000005,0.504229650573625,0.26084235574324527
LXV,MC,M,-0.8099744705882352,0.19224958823529412,0.28323948851261843,0.24128464769905555
LXV,MORENA,F,0.376294,-0.3990973129770992,0.341449565220625,0.18371464782495558
LXV,MORENA,M,0.31828993442622955,-0.3790605819672131,0.30478254679045896,0.19140075781760738
LXV,PAN,F,-0.6924431029411765,-0.308340455882353,0.15675673958794556,0.16773223954564614
LXV,PAN,M,-0.7210282428571428,-0.32146455714285715,0.09342565763408064,0.15516646943909096
LXV,PRI,F,-0.49807838095238094,0.058139,0.0848157326201933,0.13180441655041428
LXV,PRI,M,-0.5273840263157895,0.051285605263157896,0.12614021699776218,0.11735675413618303
LXV,PT,F,0.6013421176470588,-0.25289270588235296,0.2363087717843654,0.19909959612457925
LXV,PT,M,0.4539181666666667,-0.20425955555555556,0.2240321383158728,0.14886250224134873
LXV,PVEM,F,0.27532616666666665,-0.230529125,0.10200686612085043,0.15968724865357573
LXV,PVEM,M,0.3146655357142857,-0.215367,0.14957482689560608,0.1571256711060243
LXVI,MC,F,0.7602193846153846,-0.6214050769230769,0.031849904135225864,0.026427300506804006
LXVI,MC,M,0.7730729375,-0.6131559375,0.010713938606436947,0.04817247514015828
LXVI,MORENA,F,-0.28382364238410596,-0.1342616953642384,0.18379278881952335,0.1551184492125934
LXVI,MORENA,M,-0.27359409009009006,-0.1663831081081081,0.12518872625393515,0.11273841198531237
LXVI,PAN,F,0.8252866285714285,0.5461313714285715,0.02965439705823396,0.07010025980277682
LXVI,PAN,M,0.8347111,0.5454559999999999,0.026539873324722348,0.07106900148230809
LXVI,PRI,F,0.930355,-0.36059673333333336,0.019512168364528685,0.05153284994124297
LXVI,PRI,M,0.9307585652173913,-0.35551334782608696,0.024899893741697477,0.07991412572289915
LXVI,PT,F,-0.699573,0.17415884210526317,0.5556557567038347,0.08596555735116189
LXVI,PT,M,-0.6050205,0.16695359999999998,0.565846333466882,0.12785441094641659
LXVI,PVEM,F,-0.5176244074074074,0.04803066666666667,0.41027857897533465,0.20312398998508652
LXVI,PVEM,M,-0.5701210952380953,0.03429616666666667,0.3896239770193577,0.13731155796695704
