,MORENA,PAN,PVEM,PT,PRI,MC,IND,PRD,CONV,NA,ALT,PES,SP
MORENA,0.9871211203419479,0.7601022114789254,0.9667824968044444,0.9693415477374003,0.7883261292444087,0.7684062248201357,0.9286450358067284,0.851871985534394,0.8226426808846239,0.7778519076154379,0.8078781828480546,0.9479915217149136,0.8462837805806881
PAN,0.7601022114789254,0.9783125777081128,0.8457704209244796,0.7263268549057962,0.9220265478488534,0.8488571422959825,0.788805270325607,0.7702369136114249,0.717313757050168,0.9022232402364229,0.7351423160527114,0.8673577368019055,0.884232476769662
PVEM,0.9667824968044444,0.8457704209244796,0.9891233758714423,0.922804770186562,0.9295605769583241,0.7447294801665835,0.8686174205602988,0.8024745955356469,0.765459086378461,0.958170609397504,0.7584706573470893,0.9503710716535926,0.9290783536390301
PT,0.9693415477374003,0.7263268549057962,0.922804770186562,0.9702653354334195,0.7183630881867809,0.7719986271339766,0.8202937752520343,0.8236613275195918,0.8376944729766588,0.6626927955690889,0.8433567763264433,0.9477790563552007,0.8556413582181371
PRI,0.7883261292444087,0.9220265478488534,0.9295605769583241,0.7183630881867809,0.978771396313255,0.807166159907821,0.839935964149558,0.8050508622607829,0.7583368801362429,0.9627403411127514,0.762861434013108,0.9166921337101717,0.9210403168383109
MC,0.7684062248201357,0.8488571422959825,0.7447294801665835,0.7719986271339766,0.807166159907821,0.9591593328265765,0.7890940305158883,0.8361971469575745,0.7652014403265887,0.795091243017056,0.7310800108319669,0.8649533316939785,0.8665921506729244
IND,0.9286450358067284,0.788805270325607,0.8686174205602988,0.8202937752520343,0.839935964149558,0.7890940305158883,0.8374306977789813,0.8534929152848009,0.8553613481023954,0.8353217093164211,0.8412393796804152,0.9229258051018179,0.8744673048239877
PRD,0.851871985534394,0.7702369136114249,0.8024745955356469,0.8236613275195918,0.8050508622607829,0.8361971469575745,0.8534929152848009,0.904783291071703,0.8526916304526179,0.797693050376186,0.852539536794747,0.8847075161488358,0.8814038993215128
CONV,0.8226426808846239,0.717313757050168,0.765459086378461,0.8376944729766588,0.7583368801362429,0.7652014403265887,0.8553613481023954,0.8526916304526179,0.9193399497764562,0.7735984002008996,0.8514043834469393,0.0,0.0
NA,0.7778519076154379,0.9022232402364229,0.958170609397504,0.6626927955690889,0.9627403411127514,0.795091243017056,0.8353217093164211,0.797693050376186,0.7735984002008996,0.9867195078221134,0.7700539293999294,0.9489161704362274,0.9366074423541961
ALT,0.8078781828480546,0.7351423160527114,0.7584706573470893,0.8433567763264433,0.762861434013108,0.7310800108319669,0.8412393796804152,0.852539536794747,0.8514043834469393,0.7700539293999294,0.8829036476101544,0.0,0.0
PES,0.9479915217149136,0.8673577368019055,0.9503710716535926,0.9477790563552007,0.9166921337101717,0.8649533316939785,0.9229258051018179,0.8847075161488358,0.0,0.9489161704362274,0.0,0.9633400726306784,0.872083755370097
SP,0.8462837805806881,0.884232476769662,0.9290783536390301,0.8556413582181371,0.9210403168383109,0.8665921506729244,0.8744673048239877,0.8814038993215128,0.0,0.9366074423541961,0.0,0.872083755370097,0.8777025205218407
