legislator_id,nombre,partido,partido_id,comunidad,degree_centrality,betweenness_centrality,covotacion_intra_partido,covotacion_inter_partido_prom
P00130,Arellano Arellano Joel,PAN,O12,0,0.26039897874095236,2.092298596113479e-06,0.9783125777081128,0.6977424920215671
P00131,Castro Muñoz Juan de Dios,PAN,O12,0,0.23056946355826244,2.1486032526046675e-07,0.9783125777081128,0.6977424920215671
P00132,Corral Aguilar María Mercedes,PAN,O12,0,0.2593771910515541,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00133,Espinosa Piña José Luis,PAN,O12,0,0.25940376450020425,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00134,García Reyes Ángel Humberto,PAN,O12,0,0.2484957750670618,1.1124468830289288e-06,0.9783125777081128,0.6977424920215671
P00135,García Vivián Raúl,PAN,O12,0,0.2553253907216991,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00136,Landero Gutiérrez Alejandro,PAN,O12,0,0.2511965761507695,1.075990416140314e-06,0.9783125777081128,0.6977424920215671
P00137,Medina Rodríguez Delber,PAN,O12,0,0.25494226848848667,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00138,Montes Sánchez Fabián Fernando,PAN,O12,0,0.2462647465056223,1.075990416140314e-06,0.9783125777081128,0.6977424920215671
P00139,Padilla Orozco Raúl Alejandro,PAN,O12,0,0.25307286868687434,1.4817458474179971e-06,0.9783125777081128,0.6977424920215671
P00140,Palafox Núñez José Inés,PAN,O12,0,0.25645052628736026,1.8329373220844394e-06,0.9783125777081128,0.6977424920215671
P00141,Ramírez Pech Edgar Martín,PAN,O12,0,0.242490263948635,6.369765817121043e-07,0.9783125777081128,0.6977424920215671
P00142,Serrato Castell Luis Gerardo,PAN,O12,0,0.535272587640072,0.0033390285790083143,0.9783125777081128,0.6977424920215671
P00143,Acosta Dávila Constantino,PAN,O12,0,0.25113863724147206,9.81992653552586e-07,0.9783125777081128,0.6977424920215671
P00144,Aguilar López José Alejandro,PT,O14,0,0.7239263323846963,0.005991199775324455,0.9702653354334195,0.7071396035976907
P00145,Alcalde Virgen Moisés,PAN,O12,0,0.22959350655543975,1.7744555466710402e-07,0.9783125777081128,0.6977424920215671
P00146,Alcaraz Hernández Alma Edwviges,PAN,O12,0,0.2592161880904865,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00147,Álvarez Bernal María Elena,PAN,O12,0,0.26052389293793893,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00148,Amezola Fonceca Gerardo,PAN,O12,0,0.2600485129069727,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00149,Aranda Orozco Gerardo,PAN,O12,0,0.2543810850425974,1.4502641244504619e-06,0.9783125777081128,0.6977424920215671
P00150,Arenas Guzmán Margarita,PAN,O12,0,0.2601167641418232,2.092298596113479e-06,0.9783125777081128,0.6977424920215671
P00151,Arizmendi Uribe Efraín,PAN,O12,0,0.2540765686026169,1.4502641244504619e-06,0.9783125777081128,0.6977424920215671
P00152,Armendáriz García Pedro,PAN,O12,0,0.248732023940049,1.1124468830289288e-06,0.9783125777081128,0.6977424920215671
P00153,Arredondo Ibarra Salvador,PAN,O12,0,0.2567073885452767,1.5087628844960137e-06,0.9783125777081128,0.6977424920215671
P00154,Arredondo Velázquez Jesús,PAN,O12,0,0.2595273472976246,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00155,Ávila Mayo Obdulio,PAN,O12,0,0.25467171061530264,1.5087628844960137e-06,0.9783125777081128,0.6977424920215671
P00156,Barradas Miravete Gregorio,PAN,O12,0,0.24716476534411488,9.81992653552586e-07,0.9783125777081128,0.6977424920215671
P00157,Barrios Rodríguez Juan Enrique,PAN,O12,0,0.2535473002166675,1.1124468830289288e-06,0.9783125777081128,0.6977424920215671
P00158,Bello Pérez Alfonso Othón,PAN,O12,0,0.25666383681002847,2.1068622903548516e-06,0.9783125777081128,0.6977424920215671
P00159,Berber Martínez Antonio,PAN,O12,0,0.2568233558735466,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00160,Bermúdez Viramontes Andrés,PAN,O12,0,0.21976632765522325,1.7744555466710402e-07,0.9783125777081128,0.6977424920215671
P00161,Bolaños Aguilar Edmundo Javier,PAN,O12,1,0.5632047926868224,0.0054056777021214315,0.9783125777081128,0.6977424920215671
P00162,Borboa Becerra Omar Antonio,PAN,O12,0,0.6145515445206168,0.006645620947873972,0.9783125777081128,0.6977424920215671
P00163,Borrego Estrada Felipe,PAN,O12,0,0.23202209864342374,1.7744555466710402e-07,0.9783125777081128,0.6977424920215671
P00164,Bracho González Carlos Augusto,PAN,O12,0,0.2605752876534977,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00165,Buganza Salmerón Gerardo,PAN,O12,0,0.25070029834877366,1.1124468830289288e-06,0.9783125777081128,0.6977424920215671
P00166,Campos Galván María Eugenia,PAN,O12,0,0.25698033857518265,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00167,Carbajal Méndez Liliana,PAN,O12,0,0.48830922146627886,0.003102034533248577,0.9783125777081128,0.6977424920215671
P00168,Carbajal Tejada Rogelio,PAN,O12,0,0.22436261240494934,1.2165756183086614e-07,0.9783125777081128,0.6977424920215671
P00169,Cárdenas Gutiérrez Gustavo Adolfo,MC,O16,1,0.4763337435796665,0.004470637446200161,0.9591593328265765,0.6849547848814626
P00170,Cárdenas Sánchez Esmeralda,PAN,O12,0,0.25705548861560035,2.0595189533698315e-06,0.9783125777081128,0.6977424920215671
P00171,Carrasco Altamirano Diódoro Humberto,PAN,O12,0,0.25713246909620907,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00172,Castaño Contreras Cristián,PAN,O12,0,0.26077014810041993,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00173,Castro De la Rosa Osiel,PAN,O12,0,0.25498387677951867,2.092298596113479e-06,0.9783125777081128,0.6977424920215671
P00174,Castro Romero Ma. Sofía Del Perpetuo Socorro,PAN,O12,0,0.2220008150208373,7.049648144098656e-08,0.9783125777081128,0.6977424920215671
P00175,Ceja Romero Ramón,PAN,O12,0,0.2585780165773432,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00176,Chávez García Daniel,PAN,O12,0,0.23292376359211117,2.480857734720687e-07,0.9783125777081128,0.6977424920215671
P00177,Collado Lara Beatriz,PAN,O12,0,0.2583014954107293,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00178,Contreras Coeto José Luis,PAN,O12,0,0.26083205010553956,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00179,Cuen Garibi Marcela,PAN,O12,0,0.25681443840588636,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00180,Cuevas Melo Abel Ignacio,PAN,O12,0,0.19839273459965237,2.1483633107345147e-09,0.9783125777081128,0.6977424920215671
P00181,Curiel Preciado Leobardo,PAN,O12,0,0.2635065991486791,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00182,Dávila Fernández Adriana,PAN,O12,0,0.5077396259484267,0.003396336735713914,0.9783125777081128,0.6977424920215671
P00183,Dávila  García Francisco,PAN,O12,0,0.2586628194173601,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00184,De León Tello Jesús,PAN,O12,0,0.2605030193619741,1.8936700390230889e-06,0.9783125777081128,0.6977424920215671
P00185,De la Torre Jaramillo Eduardo Sergio,PAN,O12,0,0.2585919218353288,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00186,De la Torre Sánchez José,PAN,O12,0,0.2624180713683226,2.0235581585333983e-06,0.9783125777081128,0.6977424920215671
P00187,Degante Romero Silvia Emilia,PAN,O12,0,0.2582000767651097,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00188,Del Toro del Villar Tomás,PAN,O12,0,0.2602263399044423,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00189,Del Valle Toca Antonio,PAN,O12,0,0.2564641068443208,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00190,Delgado Oscoy Alejandro Enrique,PAN,O12,0,0.25665460327783457,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00191,Deschamps Falcón Ángel Rafael,PAN,O12,0,0.22899140812131297,1.7744555466710402e-07,0.9783125777081128,0.6977424920215671
P00192,Díaz García José Antonio,PAN,O12,0,0.2614040254089374,2.092298596113479e-06,0.9783125777081128,0.6977424920215671
P00193,Díaz Garibay Felipe,PAN,O12,0,0.2545295271810301,2.1544315990441952e-06,0.9783125777081128,0.6977424920215671
P00194,Díaz Gordillo Martha Cecilia,PAN,O12,0,0.256368392260015,1.5087628844960137e-06,0.9783125777081128,0.6977424920215671
P00195,Díaz Mena Joaquín Jesús,PAN,O12,0,0.5293609436052028,0.0046441444421493686,0.9783125777081128,0.6977424920215671
