Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,954,3/4 (2926/3901),24.46,25.57,28.3
PT,O14,142,3/4 (2926/3901),3.64,2.82,3.32
MC,O16,148,3/4 (2926/3901),3.79,2.93,3.58
PRD,O18,435,3/4 (2926/3901),11.15,5.62,5.34
PVEM,O13,242,3/4 (2926/3901),6.2,5.62,5.34
MORENA,O11,759,3/4 (2926/3901),19.46,15.24,21.62
PRI,O15,1087,3/4 (2926/3901),27.86,37.39,28.72
CONV,O20,19,3/4 (2926/3901),0.49,0.73,0.78
NA,O21,49,3/4 (2926/3901),1.26,1.73,1.24
ALT,O22,5,3/4 (2926/3901),0.13,0.2,0.16
IND,O17,8,3/4 (2926/3901),0.21,0.25,0.26
PES,O25,42,3/4 (2926/3901),1.08,1.61,0.98
SP,O28,11,3/4 (2926/3901),0.28,0.29,0.36
