Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,954,Calificada 2/3 (2601/3901),24.46,23.42,23.34
PT,O14,142,Calificada 2/3 (2601/3901),3.64,3.72,4.49
MC,O16,148,Calificada 2/3 (2601/3901),3.79,3.87,4.65
PRD,O18,435,Calificada 2/3 (2601/3901),11.15,14.23,13.36
PVEM,O13,242,Calificada 2/3 (2601/3901),6.2,7.47,6.81
MORENA,O11,759,Calificada 2/3 (2601/3901),19.46,15.8,15.41
PRI,O15,1087,Calificada 2/3 (2601/3901),27.86,28.74,28.01
CONV,O20,19,Calificada 2/3 (2601/3901),0.49,0.52,0.72
NA,O21,49,Calificada 2/3 (2601/3901),1.26,0.97,1.36
ALT,O22,5,Calificada 2/3 (2601/3901),0.13,0.1,0.15
IND,O17,8,Calificada 2/3 (2601/3901),0.21,0.15,0.22
PES,O25,42,Calificada 2/3 (2601/3901),1.08,0.76,1.09
SP,O28,11,Calificada 2/3 (2601/3901),0.28,0.25,0.39
