Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,954,Simple (1951/3901),24.46,27.08,25.32
PT,O14,142,Simple (1951/3901),3.64,2.98,3.18
MC,O16,148,Simple (1951/3901),3.79,3.08,3.29
PRD,O18,435,Simple (1951/3901),11.15,5.65,5.88
PVEM,O13,242,Simple (1951/3901),6.2,5.65,5.88
MORENA,O11,759,Simple (1951/3901),19.46,20.84,22.4
PRI,O15,1087,Simple (1951/3901),27.86,32.74,31.23
CONV,O20,19,Simple (1951/3901),0.49,0.14,0.19
NA,O21,49,Simple (1951/3901),1.26,0.84,1.19
ALT,O22,5,Simple (1951/3901),0.13,0.06,0.08
IND,O17,8,Simple (1951/3901),0.21,0.06,0.08
PES,O25,42,Simple (1951/3901),1.08,0.79,1.13
SP,O28,11,Simple (1951/3901),0.28,0.09,0.14
PAN,O12,954,Calificada 2/3 (2601/3901),24.46,23.42,23.34
PT,O14,142,Calificada 2/3 (2601/3901),3.64,3.72,4.49
MC,O16,148,Calificada 2/3 (2601/3901),3.79,3.87,4.65
PRD,O18,435,Calificada 2/3 (2601/3901),11.15,14.23,13.36
PVEM,O13,242,Calificada 2/3 (2601/3901),6.2,7.47,6.81
MORENA,O11,759,Calificada 2/3 (2601/3901),19.46,15.8,15.41
PRI,O15,1087,Calificada 2/3 (2601/3901),27.86,28.74,28.01
CONV,O20,19,Calificada 2/3 (2601/3901),0.49,0.52,0.72
NA,O21,49,Calificada 2/3 (2601/3901),1.26,0.97,1.36
ALT,O22,5,Calificada 2/3 (2601/3901),0.13,0.1,0.15
IND,O17,8,Calificada 2/3 (2601/3901),0.21,0.15,0.22
PES,O25,42,Calificada 2/3 (2601/3901),1.08,0.76,1.09
SP,O28,11,Calificada 2/3 (2601/3901),0.28,0.25,0.39
PAN,O12,954,3/4 (2926/3901),24.46,25.57,28.3
PT,O14,142,3/4 (2926/3901),3.64,2.82,3.32
MC,O16,148,3/4 (2926/3901),3.79,2.93,3.58
PRD,O18,435,3/4 (2926/3901),11.15,5.62,5.34
PVEM,O13,242,3/4 (2926/3901),6.2,5.62,5.34
MORENA,O11,759,3/4 (2926/3901),19.46,15.24,21.62
PRI,O15,1087,3/4 (2926/3901),27.86,37.39,28.72
CONV,O20,19,3/4 (2926/3901),0.49,0.73,0.78
NA,O21,49,3/4 (2926/3901),1.26,1.73,1.24
ALT,O22,5,3/4 (2926/3901),0.13,0.2,0.16
IND,O17,8,3/4 (2926/3901),0.21,0.25,0.26
PES,O25,42,3/4 (2926/3901),1.08,1.61,0.98
SP,O28,11,3/4 (2926/3901),0.28,0.29,0.36
