Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,954,Simple (1951/3901),24.46,27.08,25.32
PT,O14,142,Simple (1951/3901),3.64,2.98,3.18
MC,O16,148,Simple (1951/3901),3.79,3.08,3.29
PRD,O18,435,Simple (1951/3901),11.15,5.65,5.88
PVEM,O13,242,Simple (1951/3901),6.2,5.65,5.88
MORENA,O11,759,Simple (1951/3901),19.46,20.84,22.4
PRI,O15,1087,Simple (1951/3901),27.86,32.74,31.23
CONV,O20,19,Simple (1951/3901),0.49,0.14,0.19
NA,O21,49,Simple (1951/3901),1.26,0.84,1.19
ALT,O22,5,Simple (1951/3901),0.13,0.06,0.08
IND,O17,8,Simple (1951/3901),0.21,0.06,0.08
PES,O25,42,Simple (1951/3901),1.08,0.79,1.13
SP,O28,11,Simple (1951/3901),0.28,0.09,0.14
