voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P00130,Arellano Arellano Joel,M,mayoria_relativa,LX,PAN,Convergencia,0.8004003971880492,0.02755618101933216,0.893895,-0.067841,0.7305,590
P00131,Castro Muñoz Juan de Dios,M,plurinominal,LX,PAN,Convergencia,0.5480973971880493,0.13105618101933217,0.641592,0.035659,0.7631,439
P00132,Corral Aguilar María Mercedes,M,plurinominal,LX,PAN,Convergencia,0.6800403971880492,-0.29174081898066784,0.773535,-0.387138,0.761,590
P00133,Espinosa Piña José Luis,M,plurinominal,LX,PAN,Convergencia,0.4378343971880493,-0.42724281898066785,0.531329,-0.52264,0.8475,590
P00134,García Reyes Ángel Humberto,M,mayoria_relativa,LX,PAN,Convergencia,0.6596973971880492,-0.5616408189806679,0.753192,-0.657038,0.6458,590
P00135,García Vivián Raúl,M,mayoria_relativa,LX,PAN,Convergencia,0.5867423971880492,-0.22303781898066788,0.680237,-0.318435,0.4729,590
P00136,Landero Gutiérrez Alejandro,M,mayoria_relativa,LX,PAN,Convergencia,0.7673943971880492,-0.29365081898066786,0.860889,-0.389048,0.8702,547
P00137,Medina Rodríguez Delber,M,plurinominal,LX,PAN,Convergencia,0.7811873971880492,-0.3893008189806679,0.874682,-0.484698,0.6095,589
P00138,Montes Sánchez Fabián Fernando,F,mayoria_relativa,LX,PAN,Convergencia,0.6953003971880493,-0.5192588189806678,0.788795,-0.614656,0.3627,590
P00139,Padilla Orozco Raúl Alejandro,M,plurinominal,LX,PAN,Convergencia,0.5344903971880492,-0.4064958189806679,0.627985,-0.501893,0.4254,590
P00140,Palafox Núñez José Inés,M,mayoria_relativa,LX,PAN,Convergencia,0.5080153971880492,-0.25766581898066787,0.60151,-0.353063,0.5271,590
P00141,Ramírez Pech Edgar Martín,M,mayoria_relativa,LX,PAN,Convergencia,0.4811193971880492,-0.3513698189806679,0.574614,-0.446767,0.8041,490
P00142,Serrato Castell Luis Gerardo,M,plurinominal,LX,PAN,Convergencia,0.6931933971880493,-0.27570581898066787,0.786688,-0.371103,0.4169,590
P00143,Acosta Dávila Constantino,M,mayoria_relativa,LX,PAN,Convergencia,0.4369923971880493,-0.42052181898066787,0.530487,-0.515919,0.7689,541
P00144,Aguilar López José Alejandro,M,mayoria_relativa,LX,PAN,Convergencia,0.44733939718804927,-0.3937988189806679,0.540834,-0.489196,0.7987,457
P00145,Alcalde Virgen Moisés,M,mayoria_relativa,LX,PAN,Convergencia,0.6406773971880493,-0.12881781898066785,0.734172,-0.224215,0.7916,427
P00146,Alcaraz Hernández Alma Edwviges,F,plurinominal,LX,PAN,Convergencia,0.3034463971880492,-0.7864528189806679,0.396941,-0.88185,0.5508,590
P00147,Álvarez Bernal María Elena,F,plurinominal,LX,PAN,Convergencia,0.5843533971880492,0.07711418101933215,0.677848,-0.018283,0.8695,590
P00148,Amezola Fonceca Gerardo,M,mayoria_relativa,LX,PAN,Convergencia,0.7675113971880493,-0.36192881898066787,0.861006,-0.457326,0.9085,590
P00149,Aranda Orozco Gerardo,M,plurinominal,LX,PAN,Convergencia,0.7386973971880493,-0.13081081898066782,0.832192,-0.226208,0.8,590
P00150,Arenas Guzmán Margarita,F,plurinominal,LX,PAN,Convergencia,0.6799603971880492,-0.2946938189806679,0.773455,-0.390091,0.9,590
P00151,Arizmendi Uribe Efraín,M,plurinominal,LX,PAN,Convergencia,0.5404013971880492,-0.2657508189806679,0.633896,-0.361148,0.7309,576
P00152,Armendáriz García Pedro,M,mayoria_relativa,LX,PAN,Convergencia,0.6912843971880492,-0.26379881898066787,0.784779,-0.359196,0.6661,590
P00153,Arredondo Ibarra Salvador,M,mayoria_relativa,LX,PAN,Convergencia,0.7383723971880493,-0.45957781898066785,0.831867,-0.554975,0.8333,576
P00154,Arredondo Velázquez Jesús,,plurinominal,LX,PAN,Convergencia,0.7877353971880492,-0.008156818980667835,0.88123,-0.103554,0.8542,590
P00155,Ávila Mayo Obdulio,M,plurinominal,LX,PAN,Convergencia,0.5147393971880493,-0.32010481898066784,0.608234,-0.415502,0.6051,590
P00156,Barradas Miravete Gregorio,M,mayoria_relativa,LX,PAN,Convergencia,0.6960473971880492,-0.39257981898066785,0.789542,-0.487977,0.5271,590
P00157,Barrios Rodríguez Juan Enrique,M,mayoria_relativa,LX,PAN,Convergencia,0.6635503971880492,-0.4128158189806679,0.757045,-0.508213,0.6542,590
P00158,Bello Pérez Alfonso Othón,M,mayoria_relativa,LX,PAN,Convergencia,0.8168523971880493,-0.21304681898066785,0.910347,-0.308444,0.8056,571
P00159,Berber Martínez Antonio,M,mayoria_relativa,LX,PAN,Convergencia,0.7783323971880493,-0.3944168189806679,0.871827,-0.489814,0.6949,590
P00160,Bermúdez Viramontes Andrés,M,mayoria_relativa,LX,PAN,Convergencia,0.7073643971880492,0.30229518101933217,0.800859,0.206898,0.5011,441
P00161,Bolaños Aguilar Edmundo Javier,M,plurinominal,LX,PAN,Convergencia,0.7184403971880492,-0.4386818189806678,0.811935,-0.534079,0.7763,590
P00162,Borboa Becerra Omar Antonio,M,mayoria_relativa,LX,PAN,Convergencia,0.6830863971880492,-0.32845181898066783,0.776581,-0.423849,0.7453,322
