voter_id,nombre,genero,n_legs,legislaturas,partidos,estabilidad_nominate_d1,movimiento_ideologico,delta_disciplina_mean,es_switcher
P00142,Serrato Castell Luis Gerardo,M,2,LX;LXV,PAN,0.404345,0.950778,0.5093,False
P00144,Aguilar López José Alejandro,M,3,LX;LXV;LXVI,PAN;PT,0.30871,0.116112,0.095,True
P00161,Bolaños Aguilar Edmundo Javier,M,2,LX;LXIII,PAN,0.692337,1.395245,0.0346,False
P00162,Borboa Becerra Omar Antonio,M,3,LX;LXII;LXVI,PAN,0.66124,1.453354,0.0468,False
P00167,Carbajal Méndez Liliana,F,2,LX;LXVI,PAN;PVEM,0.266792,0.842372,0.1815,True
P00169,Cárdenas Gutiérrez Gustavo Adolfo,M,2,LX;LXIII,PAN;MC,0.358086,0.580558,0.0005,True
P00182,Dávila Fernández Adriana,F,2,LX;LXIV,PAN,0.171112,0.924848,0.1901,False
P00195,Díaz Mena Joaquín Jesús,M,2,LX;LXIII,PAN,0.601306,0.918858,0.0049,False
P00213,García González Carlos Alberto,M,2,LX;LXII,PAN,0.585377,0.902252,0.0955,False
P00243,López Cisneros José Martín,M,3,LX;LXII;LXIV,PAN,0.38897,0.341988,0.1721,False
P00249,Macías Zambrano Gustavo,M,2,LX;LXV,PAN,0.345511,1.016966,0.1703,False
P00250,Madrazo Limón Carlos,M,2,LX;LXV,PAN,0.36049,0.715235,0.2045,False
P00265,Monraz Ibarra Miguel Ángel,M,3,LX;LXV;LXVI,PAN,0.662141,1.449918,0.1729,False
P00277,Ortega Martínez Ma. del Pilar,F,2,LX;LXIV,PAN,0.137371,0.871451,0.1114,False
P00289,Ramírez Barba Ector Jaime,M,4,LX;LXIV;LXV;LXVI,PAN,0.502315,1.540452,0.0621,False
P00301,Rojas Hernández Laura Angélica,F,2,LX;LXIV,PAN,0.015813,0.660327,0.0661,False
P00313,Sánchez Juárez Claudia,F,3,LX;LXIII;LXVI,PAN;PVEM,0.341009,0.839178,0.1472,True
P00328,Verástegui Ostos César Augusto,M,2,LX;LXVI,PAN,0.972678,1.467569,0.3505,False
P00343,Zavaleta Salgado Ruth,F,2,LX;LXII,MORENA;PVEM,1.133969,1.649402,0.1309,True
P00354,Bautista Bravo Alliet Mariana,M,2,LX;LXII,MORENA,0.309193,0.530984,0.1733,False
P00355,Bravo Padilla Itzcóatl Tonatiuh,M,2,LX;LXIV,MORENA,0.560053,0.795406,0.2185,False
P00361,Contreras Julián Maricela,F,2,LX;LXIII,MORENA,1.462321,2.101903,0.0245,False
P00365,De la Rosa García Juan Hugo,M,2,LX;LXVI,MORENA,0.601375,0.921291,0.2103,False
P00373,Flores Salazar Guadalupe Socorro,M,2,LX;LXII,MORENA,0.142818,0.236108,0.0831,False
P00394,Luna Munguía Alma Lilia,F,2,LX;LXIII,MORENA;PRI,0.374674,0.854436,0.1038,True
P00410,Narcía Álvarez Héctor,M,2,LX;LXII,MORENA;PVEM,0.921714,1.362408,0.2077,True
P00429,Sánchez Barrios Carlos,M,4,LX;LXIV;LXV;LXVI,MORENA,0.540931,1.288841,0.1505,False
P00430,Sánchez Camacho Alejandro,M,2,LX;LXII,MORENA,0.302729,0.550783,0.0249,False
P00439,Varela López Víctor Gabriel,M,3,LX;LXIV;LXV,MORENA,0.659812,1.051575,0.1246,False
P00447,Ortega Martínez Antonio,M,2,LX;LXIV,MORENA,0.390322,0.565669,0.2068,False
P00450,Alavez Ruiz Aleida,F,4,LX;LXII;LXIV;LXV,MORENA,0.628455,1.316805,0.1046,False
P00458,Villanueva Albarrán Gerardo,M,2,LX;LXII,MORENA;MC,0.167321,0.297003,0.1954,True
P00463,Abramo Masso Yerico,M,4,LX;LXIII;LXV;LXVI,PRI,0.221652,0.260183,0.1,False
P00466,Alcántara Núñez Jesús Sergio,F,2,LX;LXIV,PRI,0.428483,0.606546,0.1901,False
P00467,Aldana Prieto Luis Ricardo,M,2,LX;LXII,PRI,0.702902,0.99454,0.2339,False
P00470,Barajas Del Toro Salvador,M,2,LX;LXII,PRI,0.475405,1.063405,0.1148,False
P00480,Canavati Tafich Jesús Ricardo,M,2,LX;LXIII,PRI;PVEM,0.19347,0.759188,0.13,True
P00482,Cárdenas Del Avellano Enrique,M,2,LX;LXII,PRI,0.48231,1.057697,0.1857,False
P00483,Cárdenas Monroy Oscar Gustavo,M,2,LX;LXV,PRI,0.098024,0.797363,0.2753,False
P00488,Díaz Athié Antonio de Jesús,M,2,LX;LXII,PRI,0.526627,1.069212,0.0349,False
P00492,Escajeda Jiménez José Rubén,M,2,LX;LXII,PRI,0.711407,1.101835,0.1641,False
P00495,Estefan Chidiac Charbel Jorge,M,2,LX;LXIII,PRI,0.149306,0.346743,0.1049,False
P00496,Flores Sandoval Patricio,M,2,LX;LXII,PRI,0.40646,1.530168,0.1709,False
P00500,Gloria Requena Tomás,M,2,LX;LXV,PRI;PVEM,0.024485,0.208839,0.3421,True
P00502,González Calderón Martha Hilda,F,2,LX;LXIII,PRI,0.057295,0.729141,0.2204,False
P00504,González Salum Miguel Ángel,M,2,LX;LXIII,PRI,0.049687,0.908402,0.1885,False
P00506,Guerrero García Javier,F,2,LX;LXIII,PRI;MORENA,0.411705,0.595008,0.0734,True
