vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE03,aprobada,mayoria_simple,298,149,234,64,0,26,85,O01,1
VE04,aprobada,mayoria_calificada,494,334,359,135,0,6,25,O01|O02|O03,3
VE05,aprobada,mayoria_calificada,487,334,357,130,0,13,23,O01|O02|O03,3
VE06,aprobada,mayoria_calificada,492,334,492,0,0,8,158,O01,1
VE07,aprobada,mayoria_calificada,483,334,483,0,0,17,149,O01,1
VE08,aprobada,mayoria_calificada,495,334,362,133,0,5,28,O01|O02|O03,3
VE09,aprobada,mayoria_calificada,479,334,353,126,0,21,19,O01|O02|O03,3
VE10,aprobada,mayoria_simple,398,199,398,0,0,102,199,,0
VE11,aprobada,mayoria_calificada,478,334,478,0,0,22,144,O01,1
VE12,aprobada,mayoria_calificada,473,334,473,0,0,27,139,O01,1
VE13,aprobada,mayoria_simple,476,238,476,0,0,23,238,,0
VE14,aprobada,mayoria_calificada,472,334,472,0,0,26,138,O01,1
VE15,aprobada,mayoria_calificada,475,334,353,122,0,24,19,O01|O02|O03,3
VE16,aprobada,mayoria_calificada,462,334,350,111,1,37,16,O01|O02|O03,3
VE17,aprobada,mayoria_simple,459,230,336,123,0,41,106,O01,1
VE18,aprobada,mayoria_simple,470,235,342,128,0,30,107,O01,1
VE19,aprobada,mayoria_simple,464,232,334,130,0,36,102,O01,1
VE20,aprobada,mayoria_simple,467,234,342,125,0,33,108,O01,1
VE21,aprobada,mayoria_calificada,483,334,483,0,0,17,149,O01,1
VE22,aprobada,mayoria_calificada,473,334,408,65,0,27,74,O01,1
VE23,aprobada,mayoria_calificada,473,334,472,0,1,27,138,O01,1
VE24,aprobada,mayoria_calificada,473,334,339,133,1,27,5,O01|O02|O03,3
VE25,aprobada,mayoria_calificada,472,334,343,129,0,28,9,O01|O02|O03,3
VE26,aprobada,mayoria_calificada,468,334,468,0,0,32,134,O01,1
VE27,aprobada,mayoria_calificada,450,334,450,0,0,49,116,O01,1
VE28,aprobada,mayoria_calificada,442,334,441,0,1,57,107,O01,1
VE29,aprobada,mayoria_simple,441,221,388,53,0,59,167,O01,1
VE30,aprobada,mayoria_simple,431,216,431,0,0,69,215,O01,1
VE31,aprobada,mayoria_simple,429,215,321,108,0,71,106,O01,1
VE32,aprobada,mayoria_calificada,443,334,335,108,0,57,1,O01|O02|O03,3
VE33,aprobada,mayoria_calificada,475,334,347,128,0,25,13,O01|O02|O03,3
VE34,aprobada,mayoria_calificada,451,334,332,119,0,49,-2,O01|O02|O03|O11,4
VE35,aprobada,mayoria_calificada,441,334,441,0,0,59,107,O01,1
VE36,aprobada,mayoria_simple,435,218,344,91,0,65,126,O01,1
VE37,aprobada,mayoria_simple,436,218,341,95,0,64,123,O01,1
VE38,aprobada,mayoria_simple,462,231,367,95,0,38,136,O01,1
VE39,aprobada,mayoria_simple,458,229,344,114,0,42,115,O01,1
VE40,aprobada,mayoria_calificada,434,334,410,24,0,66,76,O01,1
VE41,aprobada,mayoria_calificada,445,334,327,118,0,55,-7,O01|O02|O03,3
VE42,aprobada,mayoria_simple,445,223,445,0,0,55,222,O01,1
VE43,aprobada,mayoria_simple,462,231,462,0,0,37,231,O01,1
VE44,aprobada,mayoria_simple,454,227,389,65,0,45,162,O01,1
VE45,aprobada,mayoria_simple,453,227,330,123,0,46,103,O01,1
VE46,aprobada,mayoria_simple,450,225,325,125,0,49,100,O01,1
VE47,aprobada,mayoria_simple,454,227,328,126,0,45,101,O01,1
VE48,aprobada,mayoria_simple,452,226,332,120,0,47,106,O01,1
VE49,aprobada,mayoria_simple,452,226,333,119,0,47,107,O01,1
VE50,aprobada,mayoria_simple,446,223,326,120,0,53,103,O01,1
VE51,aprobada,mayoria_simple,465,233,465,0,0,34,232,O01,1
VE52,aprobada,mayoria_simple,445,223,445,0,0,54,222,O01,1
VE53,aprobada,mayoria_calificada,467,334,467,0,0,32,133,O01,1
VE54,aprobada,mayoria_simple,478,239,349,129,0,21,110,O01,1
