voter_id,nombre,partido,dim_1,dim_2,legislatura
P00001,"Adame Castillo, Marco Antonio",PAN,0.999144,0.041372,LX
P00002,"Aguilar Bodegas, José Antonio",PRI,0.97049,0.241143,LX
P00003,"Alanís Quiñones, Adrián",PRI,0.820678,0.217058,LX
P00004,"Aldana Prieto, Luis Ricardo",PRI,0.841888,0.539652,LX
P00005,"Amar Shabshab, Wadi",PAN,0.95466,0.108231,LX
P00006,"Amaya Téllez, Rodimiro",MORENA,0.999993,0.003779,LX
P00007,"Angeles Cerón, Esteban Miguel",PRI,0.88564,0.136851,LX
P00008,"Arias Aparicio, Eduardo",PAN,0.899819,0.291794,LX
P00009,"Astudillo Flores, Héctor Antonio",PRI,0.790854,0.318426,LX
P00010,"Ayala Almeida, Joel",PRI,0.787428,0.285697,LX
P00011,"Bartlett Díaz, Manuel",PRI,0.999959,0.009105,LX
P00012,"Becerra Rodríguez, Salvador",PAN,0.793624,0.278,LX
P00013,"Bojórquez Mungaray, Francisco",PRI,0.954667,0.261632,LX
P00014,"Bonilla Robles, José Eulogio",PRI,0.891098,0.102086,LX
P00015,"Buganza Salmerón, Gerardo",PAN,0.876226,0.140099,LX
P00016,"Camacho Quiroz, César",PRI,0.981456,0.013131,LX
P00018,"Canavati Tafich, Ricardo",PRI,0.926909,0.200315,LX
P00019,"Cañedo Benitez, Rafael",PRI,0.999841,-0.017831,LX
P00020,"Cantón Zetina, Oscar",PRI,0.999569,0.02937,LX
P00021,"Cárdenas Batel, Lázaro",MORENA,0.916405,0.185256,LX
P00022,"Cárdenas Gutiérrez, Gustavo A",PAN,0.946538,0.290108,LX
P00023,"Cárdenas Hernández, Raymundo",MORENA,0.953961,0.29993,LX
P00024,"Castañeda Pérez, José Alberto",PAN,0.874607,0.242264,LX
P00026,"Castro Castro, José Adalberto",PRI,0.815643,0.322848,LX
P00027,"Castro Cervantes, Moisés",MORENA,0.908642,0.178475,LX
P00028,"Chaurand Arzate, Carlos",PRI,0.89204,0.030365,LX
P00030,"Cisneros Fernández, Joaquín",PRI,0.997503,0.070615,LX
P00031,"Colosio Fernández, Luis",PRI,0.955362,0.295437,LX
P00032,"Corral Avila, Ramón",PAN,0.792749,0.276517,LX
