legislatura,partido,n_mr,n_pluri,gap_disciplina,gap_nominate_d1,t_stat,p_value,cohens_d,significant
LX,MORENA,5,8,-0.0012249999999999206,-0.7023095500000001,0.022186602758577915,0.9828235182013821,-0.0127195228083427,False
LX,PAN,27,16,-0.004469907407407381,-0.07200496527777778,0.15025827175750275,0.8815215083429246,-0.04745808641806443,False
LX,PRI,22,14,-0.00904610389610394,-0.24084442857142854,0.34650803648534145,0.7314284002365343,-0.11746304308177843,False
LXI,MORENA,8,7,-0.013853571428571354,-0.20588872095677108,0.463320797890679,0.6546130996339791,-0.24448156219737632,False
LXI,PAN,29,18,0.012860536398467404,-0.011188501380854171,-0.5437029813250362,0.5893729336078032,0.1564165742173627,False
LXI,PRI,23,15,-0.015414202898550777,-0.296698048817978,0.6831735697960983,0.4995766299912713,-0.2257452169211808,False
LXII,MORENA,5,6,0.027160000000000073,-0.10183193333333329,-0.6249124237606832,0.5538680556416526,0.3645149155792525,False
LXII,PAN,10,13,0.006119999999999903,-0.0010073153846154037,-0.22482305940966676,0.8253674026373605,0.09736586889181892,False
LXII,PRI,16,8,-0.0031999999999999806,-0.0668216875,0.25408591357797794,0.8040679447620448,-0.11497547299472252,False
LXIII,PAN,11,15,-0.01919393939393932,0.2017235454545454,1.4497720950184698,0.16026340332274697,-0.5667310077244455,False
LXIII,PRI,17,8,0.02481544117647061,-0.0028325588235295074,-1.363433599538146,0.1861735179193063,0.5010352758766834,False
LXIII,PT,7,5,-0.014000000000000012,-0.06484662857142853,0.40968836374653755,0.691827174336168,-0.239788433550828,False
LXIV,MORENA,40,19,0.000864736842105307,-0.20554997500000005,-0.12359860061296188,0.902090348327281,0.03131920987990828,False
LXV,MORENA,44,18,7.702020202016158e-05,-0.1851614065656566,-0.009454185889633591,0.9924968816061432,0.0024235352413107744,False
LXVI,MORENA,27,7,0.0002529100529100603,0.2296107566137566,-0.06565954564942521,0.948636045078888,0.024898540462652247,False
LXVI,PAN,5,8,-0.003797499999999898,-0.05856862499999993,0.667780861027134,0.5181958896559217,-0.35530413363509333,False
