rank,person_id,nombre,partido,disidencia_pct,total_votaciones,votos_disidentes
1,P00106,"Méndez Lanz, Víctor Manuel",PRI,60.9,737,449
2,P00085,"Herrera Beltrán, Fidel",PRI,33.8,689,233
3,P00099,"Madero Quiroga, Adalberto Arturo",PAN,30.1,915,275
4,P00097,"Lozano Armengol, Jorge",PAN,29.3,523,153
5,P00820,"Rojas Hernández, Laura Angélica",PAN,29.1,1074,312
6,P00815,"Ramírez Hernández, Sofío",PRI,28.4,848,241
7,P00025,"Castellanos Cortés, Sara Isabel",PVEM,27.8,18,5
8,P00104,"Medina Plascencia, Carlos",PAN,24.2,496,120
9,P00919,"Montes Colunga, Vianey",PAN,23.1,39,9
10,P00692,"García Quiroz, María del Socorro",PRI,21.4,56,12
