legislatura,partido,gap_disciplina,gap_nominate_d1,t_stat,p_value,u_stat,p_value_mwu,significant
LX,PAN,0.013416,0.103585,1.3547,0.177543,6197.5,0.335123,False
LX,PRI,-0.017636,-0.385658,-0.9281,0.356821,1219.0,0.343444,False
LXI,MORENA,0.034465,0.139909,1.4724,0.146789,1003.5,0.179348,False
LXI,PAN,0.027561,0.224583,0.1256,0.90028,2786.5,0.75421,False
LXI,PRI,-0.012821,-0.200958,0.3528,0.724671,9271.5,0.733378,False
LXII,MORENA,-0.002611,-0.131057,-0.2869,0.774787,2035.5,0.856234,False
LXII,PAN,-0.053306,-0.073542,1.0408,0.299877,2684.0,0.330647,False
LXII,PRI,-0.006961,-0.040053,4.8551,2e-06,12370.5,1e-06,True
LXIII,MORENA,-0.018258,-0.015982,-0.0857,0.931838,2825.0,0.711128,False
LXIII,PAN,0.011906,-0.070246,1.8312,0.069522,2481.0,0.054777,False
LXIII,PRI,-0.00509,-0.037162,1.5567,0.120732,9385.5,0.29484,False
LXIII,PT,-0.01807,0.020723,,,,,False
LXIV,MORENA,-0.008357,0.214127,0.0381,0.969639,14498.0,0.468687,False
LXIV,PAN,-0.005241,-0.041945,-0.6076,0.544995,1112.5,0.618781,False
LXIV,PRI,-0.025578,0.080036,1.9936,0.051464,548.0,0.088037,False
LXV,MC,-0.034957,0.035302,2.1232,0.043211,183.0,0.037789,True
LXV,MORENA,-0.003252,0.114662,2.6835,0.007781,9821.5,0.001653,True
LXV,PAN,-0.007603,-0.024764,-0.1888,0.850535,2308.0,0.760733,False
LXV,PRI,-0.051633,-0.221019,0.6846,0.495608,889.0,0.383229,False
LXVI,MORENA,-0.000969,-0.038942,0.238,0.812136,8153.5,0.708546,False
LXVI,PAN,-0.022092,0.194424,0.4686,0.640916,807.0,0.25775,False
LXVI,PRI,-0.0056,0.02294,-0.4701,0.641778,158.5,0.686697,False
LXVI,PVEM,0.007189,-0.026201,1.088,0.281007,657.5,0.268311,False
