legislator_id,nombre,partido,partido_id,comunidad,degree_centrality,betweenness_centrality,covotacion_intra_partido,covotacion_inter_partido_prom
P00001,"Adame Castillo, Marco Antonio",PAN,O12,1,0.4091851700068923,4.722140695550953e-05,0.9123981773382102,0.4696132912646623
P00002,"Aguilar Bodegas, José Antonio",PRI,O15,1,0.4156656729288246,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00003,"Alanís Quiñones, Adrián",PRI,O15,1,0.41797244637848296,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00004,"Aldana Prieto, Luis Ricardo",PRI,O15,1,0.4178301286173236,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00005,"Amar Shabshab, Wadi",PAN,O12,1,0.3968414912371434,4.521237039459336e-05,0.9123981773382102,0.4696132912646623
P00006,"Amaya Téllez, Rodimiro",SG,O19,1,0.41565480511512853,5.5924759394301526e-05,0.8444387962968763,0.46232694147305464
P00007,"Angeles Cerón, Esteban Miguel",PRI,O15,1,0.408895058160981,4.9292506008953104e-05,0.9556839908588937,0.4718876604060948
P00008,"Arias Aparicio, Eduardo",PAN,O12,1,0.4179237256405317,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00009,"Astudillo Flores, Héctor Antonio",PRI,O15,1,0.41538952552278213,5.416858220667523e-05,0.9556839908588937,0.4718876604060948
P00010,"Ayala Almeida, Joel",PRI,O15,1,0.8266137601742678,0.020225281611154,0.9556839908588937,0.4718876604060948
P00011,"Bartlett Díaz, Manuel",PT,O14,1,0.7102758549327907,0.020265875782756092,0.934364852785745,0.47541593044951413
P00012,"Becerra Rodríguez, Salvador",PAN,O12,1,0.3796341886931212,2.2460482125113258e-05,0.9123981773382102,0.4696132912646623
P00013,"Bojórquez Mungaray, Francisco",PRI,O15,1,0.4156263055614467,5.343177888916155e-05,0.9556839908588937,0.4718876604060948
P00014,"Bonilla Robles, José Eulogio",PRI,O15,1,0.4171169428053711,5.3895510509157346e-05,0.9556839908588937,0.4718876604060948
P00015,"Buganza Salmerón, Gerardo",PAN,O12,1,0.4209772143216682,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00016,"Camacho Quiroz, César",PRI,O15,1,0.4006244467421331,4.16926780244677e-05,0.9556839908588937,0.4718876604060948
P00017,"Campuzano González, Rómulo",PAN,O12,1,0.38494892857648727,3.720918153512502e-05,0.9123981773382102,0.4696132912646623
P00018,"Canavati Tafich, Ricardo",PRI,O15,1,0.402654920538359,4.627488121962667e-05,0.9556839908588937,0.4718876604060948
P00019,"Cañedo Benitez, Rafael",PRI,O15,1,0.4121981253149726,5.343177888916155e-05,0.9556839908588937,0.4718876604060948
P00020,"Cantón Zetina, Oscar",PRI,O15,1,0.6420627011298571,0.03622057848939061,0.9556839908588937,0.4718876604060948
P00021,"Cárdenas Batel, Lázaro",PRD,O18,1,0.41747739126535444,5.5924759394301526e-05,0.9059929067141574,0.49530642013191845
P00022,"Cárdenas Gutiérrez, Gustavo A",PAN,O12,1,0.4139964405646344,5.3895510509157346e-05,0.9123981773382102,0.4696132912646623
P00023,"Cárdenas Hernández, Raymundo",PRD,O18,1,0.4180589058989971,5.5924759394301526e-05,0.9059929067141574,0.49530642013191845
P00024,"Castañeda Pérez, José Alberto",PAN,O12,1,0.3976283858837567,4.597616579170926e-05,0.9123981773382102,0.4696132912646623
P00025,"Castellanos Cortés, Sara Isabel",PVEM,O13,1,0.24443277668370447,2.527533368811477e-08,0.964047693959322,0.49056771397552124
P00026,"Castro Castro, José Adalberto",PRI,O15,1,0.31562632107055916,2.337867565358534e-06,0.9556839908588937,0.4718876604060948
P00027,"Castro Cervantes, Moisés",PRD,O18,1,0.41790251747936247,5.5924759394301526e-05,0.9059929067141574,0.49530642013191845
P00028,"Chaurand Arzate, Carlos",PRI,O15,1,0.41274770436335634,5.052708889816326e-05,0.9556839908588937,0.4718876604060948
P00029,"Chavarría Barrera, Armando",PRD,O18,1,0.23353862279198795,2.527533368811477e-08,0.9059929067141574,0.49530642013191845
P00030,"Cisneros Fernández, Joaquín",PRI,O15,1,0.40365611344479435,4.052189159919291e-05,0.9556839908588937,0.4718876604060948
P00031,"Colosio Fernández, Luis",PRI,O15,1,0.4186011146089961,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00032,"Corral Avila, Ramón",PAN,O12,1,0.3994181612643176,3.794673759530257e-05,0.9123981773382102,0.4696132912646623
