voter_id,nombre,partido,legislatura,dim_1,dim_2
P00001,"Adame Castillo, Marco Antonio",PAN,LXI,-0.360892,-0.703085
P00002,"Aguilar Bodegas, José Antonio",PRI,LXI,-0.318451,-0.947939
P00003,"Alanís Quiñones, Adrián",PRI,LXI,-0.087173,-0.889699
P00004,"Aldana Prieto, Luis Ricardo",PRI,LXI,-0.118333,-0.992974
P00005,"Amar Shabshab, Wadi",PAN,LX,0.009786,-0.96028
P00006,"Amaya Téllez, Rodimiro",MORENA,LXI,-0.063269,-0.997989
P00007,"Angeles Cerón, Esteban Miguel",PRI,LX,0.02346,-0.881841
P00008,"Arias Aparicio, Eduardo",PAN,LXI,-0.255694,-0.877969
P00009,"Astudillo Flores, Héctor Antonio",PRI,LXI,0.024997,-0.999687
P00010,"Ayala Almeida, Joel",PRI,LXI,0.204634,-0.951181
P00011,"Bartlett Díaz, Manuel",PT,LXII,-0.817839,-0.575448
P00012,"Becerra Rodríguez, Salvador",PAN,LX,0.012475,-0.603803
P00013,"Bojórquez Mungaray, Francisco",PRI,LXI,-0.04032,-0.935167
P00014,"Bonilla Robles, José Eulogio",PRI,LXI,0.05013,-0.721798
P00015,"Buganza Salmerón, Gerardo",PAN,LXI,0.008362,-0.808621
P00016,"Camacho Quiroz, César",PRI,LX,0.016531,-0.999863
P00017,"Campuzano González, Rómulo",PAN,LXI,0.055445,-0.931641
P00018,"Canavati Tafich, Ricardo",PRI,LXI,-0.263985,-0.918631
P00019,"Cañedo Benitez, Rafael",PRI,LX,-0.04338,-0.999058
P00020,"Cantón Zetina, Oscar",PRI,LX,-0.356969,-0.492908
P00021,"Cárdenas Batel, Lázaro",MORENA,LX,-0.002605,-0.999997
P00022,"Cárdenas Gutiérrez, Gustavo A",PAN,LXI,-0.12789,-0.981578
P00023,"Cárdenas Hernández, Raymundo",MORENA,LXI,-0.075334,-0.978115
P00024,"Castañeda Pérez, José Alberto",PAN,LXI,-0.771022,-0.636808
P00026,"Castro Castro, José Adalberto",PRI,LX,-0.068012,-0.99768
P00027,"Castro Cervantes, Moisés",MORENA,LXI,-0.112377,-0.988733
