Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,387,3/4 (1110/1480),26.15,36.31,30.0
PRI,O15,367,3/4 (1110/1480),24.8,25.2,29.55
SG,O19,65,3/4 (1110/1480),4.39,3.93,2.73
PT,O14,58,3/4 (1110/1480),3.92,2.54,2.27
PRD,O18,135,3/4 (1110/1480),9.12,3.93,2.73
PVEM,O13,86,3/4 (1110/1480),5.81,3.93,2.73
PES,O25,15,3/4 (1110/1480),1.01,1.79,0.91
MC,O16,51,3/4 (1110/1480),3.45,2.14,1.82
MORENA,O11,306,3/4 (1110/1480),20.68,18.85,26.82
NUEVA ALIANZA,O26,10,3/4 (1110/1480),0.68,1.39,0.45
