Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
PAN,O12,387,Calificada 2/3 (987/1480),26.15,25.75,25.34
PRI,O15,367,Calificada 2/3 (987/1480),24.8,23.77,23.43
SG,O19,65,Calificada 2/3 (987/1480),4.39,4.68,5.18
PT,O14,58,Calificada 2/3 (987/1480),3.92,4.48,4.9
PRD,O18,135,Calificada 2/3 (987/1480),9.12,13.25,11.72
PVEM,O13,86,Calificada 2/3 (987/1480),5.81,6.23,6.81
PES,O25,15,Calificada 2/3 (987/1480),1.01,0.79,1.09
MC,O16,51,Calificada 2/3 (987/1480),3.45,3.89,4.36
MORENA,O11,306,Calificada 2/3 (987/1480),20.68,16.71,16.62
NUEVA ALIANZA,O26,10,Calificada 2/3 (987/1480),0.68,0.44,0.54
