legislatura,partido,org_id,n_seats,shapley_shubik,banzhaf_pct,n_calificadas,n_critical,n_votaciones
LX,PAN,O12,50,0.0,0.0,67,0,664
LX,PRD,O18,18,0.0,0.0,67,0,664
LX,PRI,O15,54,0.0,0.0,67,0,664
LX,PVEM,O13,5,0.0,0.0,67,0,664
LX,SG,O19,3,0.0,0.0,67,0,664
LXI,MC,O16,4,0.0,0.0,91,0,842
LXI,PAN,O12,46,0.0,0.0,91,0,842
LXI,PRD,O18,16,0.0,0.0,91,0,842
LXI,PRI,O15,49,0.0,0.0,91,0,842
LXI,PT,O14,1,0.0,0.0,91,0,842
LXI,PVEM,O13,6,0.0,0.0,91,0,842
LXI,SG,O19,3,0.0,0.0,91,0,842
LXII,PAN,O12,41,0.0,0.0,121,0,836
LXII,PRD,O18,21,0.0,0.0,121,0,836
LXII,PRI,O15,55,0.0,0.0,121,0,836
LXII,PT,O14,6,0.0,0.0,121,0,836
LXII,PVEM,O13,7,0.0,0.0,121,0,836
LXII,SG,O19,1,0.0,0.0,121,0,836
LXIII,MC,O16,1,0.0,0.0,36,0,828
LXIII,MORENA,O11,1,0.0,0.0,36,0,828
LXIII,NUEVA ALIANZA,O26,1,0.0,0.0,36,0,828
LXIII,PAN,O12,42,0.0,0.0,36,0,828
LXIII,PES,O25,1,0.0,0.0,36,0,828
LXIII,PRD,O18,18,0.0,0.0,36,0,828
LXIII,PRI,O15,55,0.0,0.0,36,0,828
LXIII,PT,O14,17,0.0,0.0,36,0,828
LXIII,PVEM,O13,7,0.0,0.0,36,0,828
LXIII,SG,O19,9,0.0,0.0,36,0,828
LXIV,MC,O16,9,0.0,0.0,83,0,665
LXIV,MORENA,O11,60,0.0,0.0,83,0,665
LXIV,PAN,O12,25,0.0,0.0,83,0,665
LXIV,PES,O25,5,0.0,0.0,83,0,665
LXIV,PRD,O18,5,0.0,0.0,83,0,665
LXIV,PRI,O15,15,0.0,0.0,83,0,665
LXIV,PT,O14,6,0.0,0.0,83,0,665
LXIV,PVEM,O13,7,0.0,0.0,83,0,665
LXIV,SG,O19,3,0.0,0.0,83,0,665
LXV,MC,O16,13,0.0,0.0,32,0,841
LXV,MORENA,O11,61,0.0,0.0,32,0,841
LXV,PAN,O12,24,0.0,0.0,32,0,841
LXV,PES,O25,5,0.0,0.0,32,0,841
LXV,PRD,O18,3,0.0,0.0,32,0,841
LXV,PRI,O15,13,0.0,0.0,32,0,841
LXV,PT,O14,6,0.0,0.0,32,0,841
LXV,PVEM,O13,7,0.0,0.0,32,0,841
LXV,SG,O19,7,0.0,0.0,32,0,841
LXVI,MC,O16,6,0.0,0.0,67,0,358
LXVI,MORENA,O11,67,0.0,0.0,67,0,358
LXVI,PAN,O12,22,0.0,0.0,67,0,358
LXVI,PRI,O15,15,0.0,0.0,67,0,358
LXVI,PT,O14,6,0.0,0.0,67,0,358
LXVI,PVEM,O13,14,0.0,0.0,67,0,358
LXVI,SG,O19,2,0.0,0.0,67,0,358
