Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
Convergencia,O12,390,Simple (741/1480),26.35,31.19,30.71
Partido Encuentro Social,O15,368,Simple (741/1480),24.86,30.4,30.24
O19,O19,64,Simple (741/1480),4.32,2.62,2.14
Alternativa Socialdemócrata,O14,67,Simple (741/1480),4.53,2.62,2.14
O18,O18,118,Simple (741/1480),7.97,2.62,2.14
Nueva Alianza,O13,87,Simple (741/1480),5.88,2.62,2.14
Independientes,O11,312,Simple (741/1480),21.08,25.63,28.33
O25,O25,13,Simple (741/1480),0.88,0.24,0.24
Sin Partido,O16,51,Simple (741/1480),3.45,1.83,1.67
O26,O26,10,Simple (741/1480),0.68,0.24,0.24
