voter_id,nombre,legislatura_origen,legislatura_destino,partido_origen,partido_destino,disciplina_antes,disciplina_despues,delta_disciplina,dim1_antes,dim1_despues,delta_dim1
P00011,"Bartlett Díaz, Manuel",LXI,LXII,PRI,PT,0.9602,0.9697,0.0095,0.9829253238449747,1.3639469298434443,0.381022
P00020,"Cantón Zetina, Oscar",LXI,LXVI,PRI,MORENA,0.9576,1.0,0.0424,0.7085719693119514,-0.15921874823874754,-0.867791
P00033,"Corral Jurado, Javier",LXIII,LXVI,PAN,MORENA,0.7857,0.9946,0.2089,-0.40878446445279876,-0.06407774823874762,0.344707
P00802,"Ortiz Domínguez, Maki Esther",LXIII,LXVI,PAN,PVEM,0.9583,0.9932,0.0349,-0.0915104644527987,-0.3582967482387475,-0.266786
P00828,"Salazar Fernández, Luis Fernando",LXIII,LXVI,PAN,MORENA,0.9261,0.9955,0.0694,0.029695535547201335,-0.09155574823874763,-0.121251
P00851,"Martínez Espinoza, María Verónica",LXII,LXIII,PAN,PRI,0.8658,0.9968,0.131,-0.21316307015655583,0.6171855355472013,0.830349
P00898,"Urzúa Rivera, Ricardo",LXII,LXIII,PAN,PRI,0.9553,1.0,0.0447,-0.06609207015655577,0.6754395355472014,0.741532
P01599,"Camino Farjat, Verónica Noemí",LXIV,LXV,PVEM,MORENA,0.9674,0.986,0.0186,0.7504650602990033,0.8867753915832575,0.13631
P01605,"De la Sierra Arámburo, Nancy",LXIV,LXV,PT,MORENA,0.93,0.9819,0.0519,1.3177960602990033,-0.6791566084167424,-1.996953
P01642,"Pech Várguez, José Luis",LXIV,LXV,MORENA,MC,0.9627,0.9242,-0.0385,0.9784800602990034,-0.2521236084167425,-1.230604
P01646,"Ramírez Marín, Jorge Carlos",LXV,LXVI,PRI,PVEM,0.9753,0.9937,0.0184,0.021240391583257467,-0.10008874823874753,-0.121329
P01655,"Téllez, Lilly",LXIV,LXV,MORENA,PAN,0.916,0.9694,0.0534,0.01021906029900338,-0.7353376084167424,-0.745557
P01673,"Gama Basarte, Marco Antonio",LXIV,LXV,PAN,MC,0.9577,0.9833,0.0256,-0.5535139397009967,-0.30139460841674254,0.252119
P01678,"Madero Muñoz, Gustavo Enrique",LXIV,LXV,PAN,MORENA,0.9702,0.9708,0.0006,-0.6132569397009966,-0.7519476084167425,-0.138691
P01679,"Márquez Alvarado, Martha Cecilia",LXIV,LXV,PAN,PT,0.8865,0.8764,-0.0101,-0.6293409397009968,0.2138673915832575,0.843208
P01684,"Núñez Sánchez, Gloria Elizabeth",LXIV,LXV,PAN,MC,0.9814,0.9977,0.0163,-0.49602093970099675,-0.44985060841674246,0.04617
P01685,"Paz Alonzo, Raúl",LXIV,LXV,PAN,MORENA,0.8722,0.8333,-0.0389,-0.45461993970099673,0.3762243915832575,0.830844
P01697,"León Gastélum, Alejandra del Carmen",LXIV,LXV,PT,MC,0.9002,0.9543,0.0541,1.2844530602990032,-0.1929486084167425,-1.477402
P01708,"Quiñonez Ruiz, Juan",LXIV,LXV,MC,MORENA,0.9859,1.0,0.0141,-0.28940093970099673,0.9008333915832576,1.190234
