voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P00001,"Adame Castillo, Marco Antonio",M,mayoria_relativa,LX,PAN,Convergencia,0.7107252071428571,0.1576843,0.999144,0.041372,0.9671,578.0
P00002,"Aguilar Bodegas, José Antonio",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.6820712071428572,0.35745530000000003,0.97049,0.241143,0.9772,527.0
P00003,"Alanís Quiñones, Adrián",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.5322592071428571,0.3333703,0.820678,0.217058,0.9836,609.0
P00004,"Aldana Prieto, Luis Ricardo",M,,LX,PRI,Partido Encuentro Social,0.5534692071428571,0.6559643000000001,0.841888,0.539652,0.9818,549.0
P00005,"Amar Shabshab, Wadi",M,,LX,PAN,Convergencia,0.6662412071428572,0.2245433,0.95466,0.108231,0.9782,595.0
P00006,"Amaya Téllez, Rodimiro",M,mayoria_relativa,LX,MORENA,,0.7115742071428572,0.12009130000000001,0.999993,0.003779,0.8397,599.0
P00007,"Angeles Cerón, Esteban Miguel",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.5972212071428571,0.2531633,0.88564,0.136851,0.9807,517.0
P00008,"Arias Aparicio, Eduardo",M,mayoria_relativa,LX,PAN,Convergencia,0.6114002071428573,0.40810630000000003,0.899819,0.291794,0.9699,499.0
P00009,"Astudillo Flores, Héctor Antonio",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.502435207142857,0.4347383,0.790854,0.318426,0.9844,512.0
P00010,"Ayala Almeida, Joel",M,,LX,PRI,Partido Encuentro Social,0.4990092071428572,0.4020093,0.787428,0.285697,0.9835,606.0
P00011,"Bartlett Díaz, Manuel",M,plurinominal,LX,PRI,Partido Encuentro Social,0.7115402071428572,0.1254173,0.999959,0.009105,0.9733,375.0
P00012,"Becerra Rodríguez, Salvador",M,mayoria_relativa,LX,PAN,Convergencia,0.5052052071428572,0.39431230000000006,0.793624,0.278,0.9848,461.0
P00013,"Bojórquez Mungaray, Francisco",M,plurinominal,LX,PRI,Partido Encuentro Social,0.6662482071428573,0.3779443,0.954667,0.261632,0.9827,521.0
P00014,"Bonilla Robles, José Eulogio",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.602679207142857,0.2183983,0.891098,0.102086,0.9898,586.0
P00015,"Buganza Salmerón, Gerardo",M,,LX,PAN,Convergencia,0.5878072071428571,0.2564113,0.876226,0.140099,0.9762,588.0
P00016,"Camacho Quiroz, César",M,,LX,PRI,Partido Encuentro Social,0.6930372071428572,0.1294433,0.981456,0.013131,0.9809,524.0
P00018,"Canavati Tafich, Ricardo",M,,LX,PRI,Partido Encuentro Social,0.6384902071428571,0.3166273,0.926909,0.200315,0.9765,383.0
P00019,"Cañedo Benitez, Rafael",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.7114222071428571,0.09848130000000001,0.999841,-0.017831,0.9804,562.0
P00020,"Cantón Zetina, Oscar",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.7111502071428573,0.14568230000000001,0.999569,0.02937,0.9816,598.0
P00021,"Cárdenas Batel, Lázaro",M,mayoria_relativa,LX,MORENA,,0.6279862071428572,0.3015683,0.916405,0.185256,0.9903,513.0
P00022,"Cárdenas Gutiérrez, Gustavo A",M,,LX,PAN,Convergencia,0.6581192071428572,0.40642029999999996,0.946538,0.290108,0.9719,605.0
P00023,"Cárdenas Hernández, Raymundo",M,,LX,MORENA,,0.6655422071428572,0.41624229999999995,0.953961,0.29993,0.9857,559.0
P00024,"Castañeda Pérez, José Alberto",M,plurinominal,LX,PAN,Convergencia,0.5861882071428572,0.3585763,0.874607,0.242264,0.9746,472.0
P00026,"Castro Castro, José Adalberto",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.5272242071428572,0.43916030000000006,0.815643,0.322848,0.9845,388.0
P00027,"Castro Cervantes, Moisés",M,plurinominal,LX,MORENA,,0.6202232071428571,0.2947873,0.908642,0.178475,0.9815,595.0
P00028,"Chaurand Arzate, Carlos",M,,LX,PRI,Partido Encuentro Social,0.6036212071428573,0.1466773,0.89204,0.030365,0.9855,415.0
P00030,"Cisneros Fernández, Joaquín",M,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.7090842071428571,0.18692730000000002,0.997503,0.070615,0.9824,626.0
P00031,"Colosio Fernández, Luis",M,,LX,PRI,Partido Encuentro Social,0.6669432071428572,0.4117493,0.955362,0.295437,0.9814,590.0
P00032,"Corral Avila, Ramón",M,mayoria_relativa,LX,PAN,Convergencia,0.5043302071428573,0.39282930000000005,0.792749,0.276517,0.9748,317.0
P00033,"Corral Jurado, Javier",M,,LX,PAN,Convergencia,0.5640392071428573,0.4007853,0.852458,0.284473,0.9695,590.0
P00034,"Corral Romero, María del Carmen",F,mayoria_relativa,LX,PAN,Convergencia,0.6609332071428571,0.37342929999999996,0.949352,0.257117,0.9775,579.0
P00035,"Cortina Reynoso, Manuel",M,mayoria_relativa,LX,PAN,Convergencia,0.6505712071428571,0.2425553,0.93899,0.126243,0.9806,618.0
P00036,"Cota Osuna, José Carlos",M,plurinominal,LX,PRI,Partido Encuentro Social,0.6836662071428572,0.16752830000000002,0.972085,0.051216,0.972,571.0
P00037,"Cruz Martínez, Marcos Carlos",M,,LX,MORENA,,0.6066992071428572,0.2542243,0.895118,0.137912,0.9862,578.0
P00038,"Cruz Muñoz, María Elena",F,mayoria_relativa,LX,PAN,Convergencia,0.7060232071428572,0.1523023,0.994442,0.03599,0.9729,627.0
P00039,"De la Vega García, Netzahualcóyotl",M,,LX,PRI,Partido Encuentro Social,0.6718412071428572,0.1431723,0.96026,0.02686,0.9829,642.0
P00040,"Díaz Castro, Lauro",M,,LX,PRI,Partido Encuentro Social,0.6692522071428573,0.08056730000000001,0.957671,-0.035745,0.9836,428.0
P00041,"Domínguez López, Silvia Asunción",F,mayoria_relativa,LX,PRI,Partido Encuentro Social,0.623883207142857,0.2207823,0.912302,0.10447,0.9795,633.0
P00042,"Escalante Jasso, Aracely",F,,LX,PRI,Partido Encuentro Social,0.7089072071428573,0.11275130000000001,0.997326,-0.003561,0.9835,606.0
P00043,"Escandón Cadenas, Rutilio Cruz",M,,LX,MORENA,,0.6389272071428571,0.3230153,0.927346,0.206703,0.9884,431.0
P00044,"Esquivel Reyes, Rita María",F,plurinominal,LX,PAN,Convergencia,0.7114582071428572,0.1320243,0.999877,0.015712,0.971,587.0
P00045,"Fernández de Cevallos Ramos, Diego",M,plurinominal,LX,PAN,Convergencia,0.4611302071428572,-0.2080797,0.749549,-0.324392,0.9886,437.0
P00046,"Fernández de Cevallos y Urueta, Francisco",M,mayoria_relativa,LX,PAN,Convergencia,0.2962672071428572,-0.3703697,0.584686,-0.486682,0.9926,540.0
