voter_id,nombre,genero,n_legs,legislaturas,partidos,estabilidad_nominate_d1,movimiento_ideologico,delta_disciplina_mean,es_switcher
P00001,"Adame Castillo, Marco Antonio",M,2,LX;LXI,PAN,0.318629,0.460603,0.0003,False
P00002,"Aguilar Bodegas, José Antonio",M,2,LX;LXI,PRI,0.341646,0.710407,0.0195,False
P00003,"Alanís Quiñones, Adrián",M,2,LX;LXI,PRI,0.420175,0.726801,0.0113,False
P00004,"Aldana Prieto, Luis Ricardo",M,2,LX;LXI,PRI,0.367652,0.894609,0.0135,False
P00005,"Amar Shabshab, Wadi",M,2,LX;LXI,PAN,0.124033,0.178828,0.0256,False
P00006,"Amaya Téllez, Rodimiro",M,2,LX;LXI,MORENA,0.271883,0.438754,0.0588,False
P00007,"Angeles Cerón, Esteban Miguel",M,2,LX;LXI,PRI,0.202265,0.293652,0.0001,False
P00008,"Arias Aparicio, Eduardo",M,2,LX;LXI,PAN,0.308651,0.756423,0.0019,False
P00009,"Astudillo Flores, Héctor Antonio",M,2,LX;LXI,PRI,0.494321,0.826798,0.0128,False
P00010,"Ayala Almeida, Joel",M,4,LX;LXI;LXII;LXIII,PRI,0.502039,0.756851,0.0107,False
P00011,"Bartlett Díaz, Manuel",M,4,LX;LXI;LXII;LXIII,PRI;PT,0.940506,1.501292,0.0107,True
P00012,"Becerra Rodríguez, Salvador",M,2,LX;LXI,PAN,0.29867,0.725165,0.0129,False
P00013,"Bojórquez Mungaray, Francisco",M,2,LX;LXI,PRI,0.185594,0.313986,0.0082,False
P00014,"Bonilla Robles, José Eulogio",M,2,LX;LXI,PRI,0.042849,0.259772,0.0119,False
P00015,"Buganza Salmerón, Gerardo",M,2,LX;LXI,PAN,0.154085,0.239989,0.0075,False
P00016,"Camacho Quiroz, César",M,2,LX;LXI,PRI,0.292281,0.487057,0.0042,False
P00018,"Canavati Tafich, Ricardo",M,2,LX;LXI,PRI,0.400365,0.655843,0.0064,False
P00019,"Cañedo Benitez, Rafael",M,2,LX;LXI,PRI,0.318963,0.49532,0.0103,False
P00020,"Cantón Zetina, Oscar",M,3,LX;LXI;LXVI,PRI;MORENA,0.501765,0.930533,0.0332,True
P00021,"Cárdenas Batel, Lázaro",M,2,LX;LXI,MORENA,0.237563,0.450171,0.004,False
P00022,"Cárdenas Gutiérrez, Gustavo A",M,2,LX;LXI,PAN,0.32643,0.543747,0.0058,False
P00023,"Cárdenas Hernández, Raymundo",M,2,LX;LXI,MORENA,0.230554,0.341539,0.0099,False
P00024,"Castañeda Pérez, José Alberto",M,2,LX;LXI,PAN,0.651206,0.957114,0.0647,False
P00027,"Castro Cervantes, Moisés",M,2,LX;LXI,MORENA,0.339729,0.504221,0.0047,False
P00028,"Chaurand Arzate, Carlos",M,2,LX;LXI,PRI,0.209344,0.334941,0.0032,False
P00030,"Cisneros Fernández, Joaquín",M,2,LX;LXI,PRI,0.2882,0.862897,0.0311,False
P00031,"Colosio Fernández, Luis",M,2,LX;LXI,PRI,0.162122,0.281384,0.0016,False
P00032,"Corral Avila, Ramón",M,2,LX;LXI,PAN,0.304591,0.493264,0.0135,False
P00033,"Corral Jurado, Javier",M,5,LX;LXI;LXII;LXIII;LXVI,PAN;MORENA,0.63293,0.833799,0.0982,True
P00034,"Corral Romero, María del Carmen",F,2,LX;LXI,PAN,0.27275,0.6536,0.0012,False
P00035,"Cortina Reynoso, Manuel",M,2,LX;LXI,PAN,0.085244,0.39356,0.0201,False
P00036,"Cota Osuna, José Carlos",M,2,LX;LXI,PRI,0.373353,0.594716,0.008,False
P00037,"Cruz Martínez, Marcos Carlos",M,2,LX;LXI,MORENA,0.358676,0.645156,0.0096,False
P00038,"Cruz Muñoz, María Elena",F,2,LX;LXI,PAN,0.280299,0.573738,0.0023,False
P00039,"De la Vega García, Netzahualcóyotl",M,2,LX;LXI,PRI,0.076996,0.184702,0.0012,False
P00040,"Díaz Castro, Lauro",M,2,LX;LXI,PRI,0.149675,0.740285,0.0001,False
P00041,"Domínguez López, Silvia Asunción",F,2,LX;LXI,PRI,0.131673,0.372646,0.005,False
P00042,"Escalante Jasso, Aracely",F,2,LX;LXI,PRI,0.001877,0.406055,0.0022,False
P00043,"Escandón Cadenas, Rutilio Cruz",M,2,LX;LXI,MORENA,0.321935,0.645047,0.0081,False
P00044,"Esquivel Reyes, Rita María",F,2,LX;LXI,PAN,0.275759,0.390096,0.0004,False
P00045,"Fernández de Cevallos Ramos, Diego",M,2,LX;LXI,PAN,0.444686,0.640215,0.0219,False
P00046,"Fernández de Cevallos y Urueta, Francisco",M,2,LX;LXI,PAN,0.181712,0.718014,0.0271,False
P00047,"Fernández Rodríguez, Marco Antonio",M,2,LX;LXI,PRI,0.211401,0.366839,0.0224,False
P00049,"Fraile García, Francisco A",M,2,LX;LXI,PAN,0.203222,0.427399,0.0236,False
P00050,"Franco Jiménez, Jorge Eduardo",M,2,LX;LXI,PRI,0.01578,0.590211,0.0161,False
P00051,"Galván Muñoz, Jesús",M,2,LX;LXI,PAN,0.033463,0.474624,0.0248,False
P00052,"Gamboa Patrón, Emilio",M,4,LX;LXI;LXII;LXIII,PRI,0.350058,0.384301,0.0231,False
P00053,"García Torres, Antonio",M,2,LX;LXI,PRI,0.128156,0.319907,0.0174,False
P00054,"Garza Galindo, Laura Alicia",F,2,LX;LXI,PRI,0.063187,0.113557,0.0439,False
P00055,"Gil Elorduy, José Ernesto",M,2,LX;LXI,PRI,0.053027,0.075548,0.0051,False
P00056,"Gómez Bravo, Emilia Patricia",F,2,LX;LXI,PVEM,0.146775,0.278533,0.0707,False
P00057,"Gómez Esparza, Fernando",M,2,LX;LXI,PRI,0.243444,0.395528,0.0171,False
P00058,"Gómez Verónica, Gildardo",F,2,LX;LXI,PAN,0.020843,0.41027,0.0245,False
P00059,"González González, Rigoberto",M,2,LX;LXI,PAN,0.227224,0.699963,0.0218,False
P00061,"González Martínez, Jorge Emilio",M,3,LX;LXI;LXII,PVEM,0.273524,0.332524,0.0413,False
P00062,"Guerrero López, Judit Magdalena",F,2,LX;LXI,PRI,0.023858,0.345914,0.0101,False
P00063,"Gutierrez Barrios, Fernando",M,2,LX;LXI,PRI,0.190715,0.377056,0.0132,False
P00065,"Hamdan Amad, Fauzi",M,2,LX;LXI,PAN,0.021691,0.358796,0.0223,False
P00066,"Hernández Deras, Ismael A.",M,2,LX;LXI,PRI,0.437431,1.012862,0.0325,False
P00067,"Hernández Genis, Héctor Javier",M,2,LX;LXI,PAN,0.080005,0.438337,0.012,False
P00068,"Montaño Yamuni, Joaquín",M,2,LX;LXI,PAN,0.917325,1.3066,0.031,False
P00069,"Morgan Alvarez, Rafael Gilberto",M,2,LX;LXI,PAN,0.911959,1.295741,0.035,False
P00070,"Mota Sánchez, Ramón",M,2,LX;LXI,PRI,0.800377,1.137354,0.0148,False
P00072,"Muro González, Ana Bricia",F,2,LX;LXI,PRI,0.495692,1.077698,0.0666,False
P00074,"Navarro Quintero, Miguel Angel",M,3,LX;LXI;LXIV,MORENA,0.863741,1.719861,0.08,False
P00075,"Nordhausen González, Jorge Rubén",M,2,LX;LXI,PAN,0.435337,0.668935,0.1614,False
P00076,"Ojeda Zubieta, César Raúl",M,2,LX;LXI,MORENA,0.453773,0.890202,0.0935,False
P00077,"Osuna Jaime, Héctor Guillermo",M,2,LX;LXI,PAN,0.389073,0.55442,0.09,False
P00078,"Borrego Estrada, Genaro",M,2,LX;LXI,PRI,0.007657,0.383719,0.0019,False
P00079,"Gallegos Soto, Benjamín",M,2,LX;LXI,PAN,0.047621,0.265212,0.0317,False
P00080,"Grande Sánchez, José Pascual",M,2,LX;LXI,PRI,0.335768,0.474964,0.0258,False
P00081,"Gutiérrez Gutiérrez, Alejandro",M,2,LX;LXI,PRI,0.067887,0.296244,0.0191,False
P00082,"Haghenbeck Cámara, José Antonio",M,2,LX;LXI,PAN,0.017608,0.212837,0.0087,False
P00083,"Herbert Pérez, Guillermo",M,2,LX;LXI,PAN,0.261891,0.370784,0.0363,False
P00084,"Hernández Enríquez, Silvia",F,2,LX;LXI,PRI,0.038079,0.276129,0.008,False
P00085,"Herrera Beltrán, Fidel",M,2,LX;LXI,PRI,0.270562,0.50641,0.0107,False
P00086,"Herrera Mendoza, Jose Guillermo",M,2,LX;LXI,MORENA,0.447661,0.684286,0.0161,False
P00087,"Jackson Ramírez, Jesús Enrique",,2,LX;LXI,PRI,0.31503,0.466814,0.0761,False
P00088,"Jáuregui Robles, César",M,2,LX;LXI,PAN,0.300995,0.426201,0.0041,False
P00089,"Jiménez González, David",M,2,LX;LXI,PRI,0.314244,0.470261,0.0643,False
P00090,"Joaquín Coldwell, Addy Cecilia",F,2,LX;LXI,PAN,0.448563,0.956425,0.0052,False
P00091,"Jones Jones, Jeffrey Max",M,2,LX;LXI,PAN,0.329507,0.516191,0.0557,False
P00092,"Larios Córdova, Héctor",M,4,LX;LXI;LXII;LXIII,PAN,0.751709,1.706513,0.0564,False
P00093,"Larregui Nagel, Erika",F,2,LX;LXI,PVEM,0.330157,0.667984,0.0223,False
P00094,"Lavara Mejía, Gloria",F,2,LX;LXI,PVEM,0.272408,0.399054,0.0213,False
P00095,"López Nelio Santiago, Daniel",M,2,LX;LXI,MORENA,0.298851,0.530695,0.0458,False
P00096,"López Sollano, Saúl",M,4,LX;LXI;LXIV;LXV,MORENA,0.984141,1.982889,0.0748,False
P00097,"Lozano Armengol, Jorge",M,2,LX;LXI,PAN,0.324933,0.505226,0.1087,False
P00098,"Luebbert Gutiérrez, Oscar",M,2,LX;LXI,PRI,0.456066,0.686039,0.0677,False
P00099,"Madero Quiroga, Adalberto Arturo",M,2,LX;LXI,PAN,0.33057,0.492975,0.0369,False
P00100,"Madrazo Limón, Carlos",M,2,LX;LXI,PAN,0.266114,0.393638,0.0638,False
P00101,"Madrid Tovilla, Arely",F,2,LX;LXI,PRI,1.49127,2.124507,0.1723,False
P00102,"Margáin Berlanga, Fernando",M,2,LX;LXI,PAN,0.337861,0.491491,0.0525,False
P00103,"Margaiz Ramírez, Filomena",F,2,LX;LXI,PAN,0.222273,0.356574,0.0573,False
P00104,"Medina Plascencia, Carlos",M,2,LX;LXI,PAN,0.328706,0.490567,0.0117,False
P00105,"Mendez de la Luz, Armando",F,2,LX;LXI,MORENA,0.274887,0.580999,0.0261,False
P00106,"Méndez Lanz, Víctor Manuel",M,2,LX;LXI,PRI,0.303489,0.529866,0.0348,False
P00107,"Méndez Márquez, Victoria Eugenia",F,2,LX;LXI,PRI,0.244522,0.364094,0.013,False
P00108,"Méndez Meneses, Apolonio",M,2,LX;LXI,PAN,0.384374,0.61362,0.0773,False
P00109,"Aguilar González, Micaela",F,2,LX;LXI,PAN,0.058406,0.387503,0.0047,False
P00110,"Alaniz Posada, Ricardo",M,2,LX;LXI,PAN,0.023621,0.449712,0.0157,False
P00112,"Calderón Hinojosa, Luisa María",F,4,LX;LXI;LXII;LXIII,PAN,0.291297,0.618764,0.0363,False
P00113,"Castañeda Álvarez, Erasmo",M,2,LX;LXI,MORENA,0.108551,0.46582,0.018,False
P00114,"Cruz López, Oscar",M,2,LX;LXI,MORENA,0.322223,0.581547,0.0153,False
P00115,"González Parás, José Natividad",M,2,LX;LXI,PRI,0.015977,0.169857,0.0094,False
P00116,"Madero García, Lydia",F,2,LX;LXI,PAN,0.361832,0.516625,0.0724,False
P00117,"Melgoza Radillo, Rafael",M,2,LX;LXI,MORENA,0.321709,0.455208,0.094,False
P00118,"Oliva Ramírez, Juan Manuel",M,2,LX;LXI,PAN,0.397197,0.562404,0.0852,False
P00119,"Ortega Martínez, Jesús",M,2,LX;LXI,MORENA,0.283472,0.531679,0.006,False
P00120,"Martínez Mireles, Alberto Miguel",M,2,LX;LXI,PAN,0.204712,0.529961,0.0718,False
P00121,"Burgos Ochoa, Leticia",F,2,LX;LXI,MORENA,0.338743,0.498425,0.0059,False
P00122,"Gerardo Higuera, Ricardo",M,2,LX;LXI,MORENA,0.059644,0.817376,0.0325,False
P00123,"Gómez Flores, Omar Raymundo",M,2,LX;LXI,PRI,0.357782,0.650167,0.0176,False
P00124,"González Zarur, Mariano",M,2,LX;LXI,PRI,0.054922,0.310218,0.0191,False
P00125,"Michel Camarena, Héctor",M,2,LX;LXI,PRI,0.171835,1.108751,0.0032,False
P00126,"Ovando Martínez, Eduardo",M,2,LX;LXI,PRI,0.712267,1.009198,0.0262,False
P00127,"Ling Altamirano, Héctor Federico",M,2,LX;LXI,PAN,0.353125,0.499659,0.1533,False
P00129,"López Sánchez, Jorge Abel",M,2,LX;LXI,PRI,0.325965,0.532529,0.0616,False
P00628,"Paredes Lara, Orlando Alberto",M,2,LX;LXI,PRI,0.13872,0.350396,0.0161,False
P00629,"Patrón Laviada, Patricio José",M,2,LX;LXI,PAN,0.28927,0.548757,0.0113,False
P00630,"Pérez de Alva Blanco, Roberto",M,2,LX;LXI,PRI,0.31446,0.444717,0.0065,False
P00631,"Porras Bautista, Eleuterio",M,2,LX;LXI,PAN,0.79406,1.123946,0.0122,False
P00632,"Ramírez García, María del Carmen",F,2,LX;LXI,MORENA,0.404253,0.719885,0.0053,False
