vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE02,pendiente,mayoria_calificada,0,991,0,0,0,0,-991,,0
VE_S00001,aprobada,mayoria_simple,119,60,77,31,11,0,17,O12|O15,2
VE_S00002,aprobada,mayoria_simple,118,59,68,50,0,0,9,O12|O15,2
VE_S00003,aprobada,mayoria_simple,82,41,82,0,0,0,41,,0
VE_S00004,rechazada,mayoria_simple,106,53,29,77,0,0,24,O12|O15,2
VE_S00005,aprobada,mayoria_simple,88,44,88,0,0,0,44,,0
VE_S00006,aprobada,mayoria_simple,94,47,90,0,4,0,43,,0
VE_S00007,aprobada,mayoria_simple,89,45,89,0,0,0,44,,0
VE_S00008,aprobada,mayoria_simple,105,53,74,31,0,0,21,O12|O15,2
VE_S00009,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00010,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00011,rechazada,mayoria_simple,104,52,29,75,0,0,23,O12|O15,2
VE_S00012,aprobada,mayoria_simple,105,53,79,23,3,0,26,O12|O15,2
VE_S00013,rechazada,mayoria_simple,117,59,58,59,0,0,0,O12|O13|O15|O18|O19,5
VE_S00014,aprobada,mayoria_simple,115,58,115,0,0,0,57,,0
VE_S00015,aprobada,mayoria_simple,102,51,80,2,20,0,29,O15,1
VE_S00016,rechazada,mayoria_simple,87,44,38,49,0,0,5,O12|O15|O18,3
VE_S00017,aprobada,mayoria_simple,110,55,65,45,0,0,10,O12|O15,2
VE_S00018,aprobada,mayoria_simple,89,45,48,41,0,0,3,O12|O15|O18,3
VE_S00019,aprobada,mayoria_simple,101,51,101,0,0,0,50,,0
VE_S00020,aprobada,mayoria_simple,106,53,106,0,0,0,53,,0
VE_S00021,aprobada,mayoria_simple,106,53,105,0,1,0,52,,0
VE_S00022,aprobada,mayoria_simple,99,50,98,0,1,0,48,,0
VE_S00023,aprobada,mayoria_simple,111,56,85,15,11,0,29,O12|O15,2
VE_S00024,aprobada,mayoria_simple,107,54,107,0,0,0,53,,0
VE_S00025,aprobada,mayoria_simple,105,53,105,0,0,0,52,,0
VE_S00026,aprobada,mayoria_simple,108,54,108,0,0,0,54,,0
VE_S00027,aprobada,mayoria_simple,88,44,88,0,0,0,44,,0
VE_S00028,aprobada,mayoria_simple,89,45,89,0,0,0,44,,0
VE_S00029,aprobada,mayoria_simple,108,54,107,1,0,0,53,,0
VE_S00030,aprobada,mayoria_simple,105,53,105,0,0,0,52,,0
VE_S00031,aprobada,mayoria_calificada,102,991,102,0,0,0,-889,O12|O13|O15|O18|O19,5
VE_S00032,aprobada,mayoria_calificada,97,991,97,0,0,0,-894,O12|O13|O15|O18|O19,5
VE_S00033,aprobada,mayoria_calificada,98,991,95,1,2,0,-896,O12|O13|O15|O18|O19,5
VE_S00034,aprobada,mayoria_calificada,90,991,90,0,0,0,-901,O12|O13|O15|O18|O19,5
VE_S00035,aprobada,mayoria_calificada,93,991,93,0,0,0,-898,O12|O13|O15|O18|O19,5
VE_S00036,aprobada,mayoria_simple,127,64,72,55,0,0,8,O12|O15,2
VE_S00037,aprobada,mayoria_simple,113,57,85,0,28,0,28,O12|O15,2
VE_S00038,aprobada,mayoria_simple,114,57,87,0,27,0,30,O12|O15,2
VE_S00039,aprobada,mayoria_simple,115,58,115,0,0,0,57,,0
VE_S00040,aprobada,mayoria_simple,127,64,127,0,0,0,63,,0
VE_S00041,aprobada,mayoria_simple,115,58,115,0,0,0,57,,0
VE_S00042,aprobada,mayoria_simple,110,55,110,0,0,0,55,,0
VE_S00043,aprobada,mayoria_simple,124,62,124,0,0,0,62,,0
VE_S00044,aprobada,mayoria_simple,128,64,128,0,0,0,64,,0
VE_S00045,aprobada,mayoria_simple,121,61,121,0,0,0,60,,0
VE_S00046,aprobada,mayoria_simple,120,60,120,0,0,0,60,,0
VE_S00047,aprobada,mayoria_simple,116,58,103,13,0,0,45,,0
