voter_id,nombre,partido,legislatura,dim_1,dim_2
P100,Castro Trenti Fernando Jorge,Morena,LXVI,-0.954563,0.298008
P1000,Rubio Montejo Roberto Antonio,Partido Verde Ecologista de México (PVEM),LXV,-0.743777,0.161771
P1001,Bugarín Cortés Lyndiana Elizabeth,Partido Verde Ecologista de México (PVEM),LXIV,0.658928,-0.453821
P1002,Gallardo Cardona José Ricardo,Partido Verde Ecologista de México (PVEM),LXIV,0.142989,0.562667
P1003,Gómez Alcantar Marco Antonio,Partido Verde Ecologista de México (PVEM),LXIV,0.658385,-0.450021
P1004,Gómez Ordaz Leticia Mariana,Partido Verde Ecologista de México (PVEM),LXIV,0.642574,-0.45571
P1005,Manrique Guevara Beatriz,Partido Verde Ecologista de México (PVEM),LXIV,0.60531,-0.541042
P1006,Vidal Peniche Jesús Carlos,Partido Verde Ecologista de México (PVEM),LXIV,0.615496,-0.558813
P1007,Villafuerte Zavala Lilia,Partido Verde Ecologista de México (PVEM),LXIV,0.114444,0.524222
P1008,Bravo Padilla Itzcóatl Tonatiuh,Independientes,LXIV,0.74519,-0.023311
P1009,Huerta Corona Benjamín Saúl,Independientes,LXIV,-0.182252,-0.200568
P101,Castro Villarreal Antonio Lorenzo,Morena,LXVI,-0.515055,0.857157
P1010,Morales Vázquez Carlos Alberto,Independientes,LXIV,0.512635,0.613564
P1011,Riojas Martínez Ana Lucia,Independientes,LXIV,0.659372,0.751815
P1012,Villarreal Salazar Juan Carlos,Independientes,LXIV,0.580438,0.130746
P1013,Acosta Gutiérrez Manuel Ignacio,Partido Revolucionario Institucional (PRI),LXI,0.659359,0.687256
P1014,Aguero Tovar José Manuel,Partido Revolucionario Institucional (PRI),LXI,0.897083,0.441861
P1015,Aguirre Romero Andrés,Partido Revolucionario Institucional (PRI),LXI,0.795382,0.178651
P1016,Ahued Bardahuil Ricardo,Partido Revolucionario Institucional (PRI),LXI,0.480853,0.525416
P1017,Alvarado Arroyo Fermín Gerardo,Partido Revolucionario Institucional (PRI),LXI,0.897348,0.441324
P1018,Cadena Morales Manuel,Partido Revolucionario Institucional (PRI),LXI,0.86746,0.497507
P1019,Castro Ríos Sofía,Partido Revolucionario Institucional (PRI),LXI,0.300121,-0.540941
P102,Cervantes de la Cruz Elizabeth,Morena,LXVI,-0.971605,0.23661
P1020,Córdova Hernández José del Pilar,Partido Revolucionario Institucional (PRI),LXI,0.684234,0.306825
P1021,Corona Rivera Armando,Partido Revolucionario Institucional (PRI),LXI,0.890697,0.454596
P1022,De la Fuente Dagdug María Estela,Partido Revolucionario Institucional (PRI),LXI,0.91585,0.40152
P1023,Díaz Escárraga Heliodoro Carlos,Partido Revolucionario Institucional (PRI),LXI,0.898611,0.438745
P1024,Duarte de Ochoa Javier,Partido Revolucionario Institucional (PRI),LXI,0.972271,0.233858
P1025,Enríquez Fuentes Jesús Ricardo,Partido Revolucionario Institucional (PRI),LXI,0.88879,0.458315
P1026,Fayad Meneses Omar,Partido Revolucionario Institucional (PRI),LXI,0.895658,0.444744
P1027,Flores Morales Víctor Félix,Partido Revolucionario Institucional (PRI),LXI,0.894304,0.447459
P1028,Franco Vargas Jorge Fernando,Partido Revolucionario Institucional (PRI),LXI,0.924043,0.382287
P1029,García Ayala Marco Antonio,Partido Revolucionario Institucional (PRI),LXI,0.791312,0.175862
P103,Chávez Rojas Olga Leticia,Morena,LXV,-0.503032,-0.298692
P1030,García Barrón Óscar,Partido Revolucionario Institucional (PRI),LXI,0.886041,0.354037
P1031,Guerrero Coronado Delia,Partido Revolucionario Institucional (PRI),LXI,0.828071,0.234459
P1032,Hernández Hernández Jorge,Partido Revolucionario Institucional (PRI),LXI,0.891934,0.452165
P1033,Hernández Olmos Paula Angélica,Partido Revolucionario Institucional (PRI),LXI,0.89843,0.439116
P1034,Ibarra Piña Inocencio,Partido Revolucionario Institucional (PRI),LXI,0.928831,0.370503
P1036,Lara Salazar Óscar,Partido Revolucionario Institucional (PRI),LXI,0.705033,0.603608
P1037,Lastiri Quirós Juan Carlos,Partido Revolucionario Institucional (PRI),LXI,0.888349,0.459168
P1038,Ledesma Magaña Israel Reyes,Partido Revolucionario Institucional (PRI),LXI,0.921687,0.387933
P1039,López Pescador José Ricardo,Partido Revolucionario Institucional (PRI),LXI,0.899112,0.437719
P104,Chedraui Peralta Alejandra,Morena,LXVI,-0.514628,0.857413
P1040,Luna Munguía Miguel Ángel,Partido Revolucionario Institucional (PRI),LXI,0.891942,0.452149
