voter_id,nombre,partido,dim_1,dim_2,legislatura
P1624,Macías Zambrano Gustavo,Partido Acción Nacional (PAN),0.012038,-0.116887,LX
P1625,Madrazo Limón Carlos,Partido Acción Nacional (PAN),0.010262,-0.116669,LX
P1788,Escajeda Jiménez José Rubén,Partido Revolucionario Institucional (PRI),0.304632,-0.278054,LX
P1789,Flores Sandoval Patricio,Partido Revolucionario Institucional (PRI),0.304663,-0.278092,LX
P1816,Barajas del Toro Salvador,Partido Revolucionario Institucional (PRI),0.304663,-0.278092,LX
P1835,Cárdenas del Avellano Enrique,Partido Revolucionario Institucional (PRI),0.304663,-0.278092,LX
P1849,Díaz Athié Antonio De Jesús,Partido Revolucionario Institucional (PRI),0.30467,-0.27811,LX
P2012,García González Carlos Alberto,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2079,Bautista Bravo Alliet Mariana,Partido de la Revolución Democrática (PRD),0.795942,-0.029793,LX
P2086,Flores Salazar Guadalupe Socorro,Partido de la Revolución Democrática (PRD),0.749118,-0.0653,LX
P2180,Narcia Alvarez Héctor,Partido de la Revolución Democrática (PRD),0.795942,-0.029793,LX
P2290,González Salum Miguel Ángel,Partido Revolucionario Institucional (PRI),0.304632,-0.278054,LX
P2312,Luna Munguía Alma Lilia,Partido de la Revolución Democrática (PRD),0.795942,-0.029793,LX
P2392,Bolaños Aguilar Edmundo Javier,Partido Acción Nacional (PAN),0.011932,-0.116894,LX
P2574,Canavati Tafich Jesús Ricardo,Partido Revolucionario Institucional (PRI),0.357217,-0.199207,LX
P2647,Espinosa Piña José Luis,Partido Acción Nacional (PAN),-0.271564,-0.413446,LX
P2648,García Reyes Ángel Humberto,Partido Acción Nacional (PAN),-0.271564,-0.413446,LX
P2655,Ramírez Pech Edgar Martín,Partido Acción Nacional (PAN),-0.271564,-0.413446,LX
P2658,Alcalde Virgen Moisés,Partido Acción Nacional (PAN),0.010232,-0.116651,LX
P2660,Álvarez Bernal María Elena,Partido Acción Nacional (PAN),0.011932,-0.116894,LX
P2661,Amezola Fonceca Gerardo,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2663,Arenas Guzmán Margarita,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2664,Arizmendi Uribe Efraín,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2666,Arredondo Ibarra Salvador,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2668,Ávila Mayo Obdulio,Partido Acción Nacional (PAN),0.010232,-0.116651,LX
P2672,Berber Martínez Antonio,Partido Acción Nacional (PAN),0.012038,-0.116887,LX
P2674,Borrego Estrada Felipe,Partido Acción Nacional (PAN),0.010266,-0.116661,LX
P2675,Bracho González Carlos Augusto,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2678,Carbajal Tejada Rogelio,Partido Acción Nacional (PAN),0.010285,-0.116605,LX
P2679,Cárdenas Sánchez Esmeralda,Partido Acción Nacional (PAN),0.012038,-0.116887,LX
