Partido,Org_ID,Escaños,Umbral,Nominal_%,Shapley_Shubik_%,Banzhaf_%
Morena,O01,263,Simple (251/500),50.87,83.33,86.11
PAN,O04,73,Simple (251/500),14.12,3.33,2.78
PT,O02,49,Simple (251/500),9.48,3.33,2.78
PVEM,O03,64,Simple (251/500),12.38,3.33,2.78
PRI,O05,38,Simple (251/500),7.35,3.33,2.78
MC,O06,29,Simple (251/500),5.61,3.33,2.78
Independientes,O11,1,Simple (251/500),0.19,0.0,0.0
Morena,O01,263,Calificada 2/3 (334/500),50.87,68.33,59.09
PAN,O04,73,Calificada 2/3 (334/500),14.12,11.67,13.64
PT,O02,49,Calificada 2/3 (334/500),9.48,6.67,9.09
PVEM,O03,64,Calificada 2/3 (334/500),12.38,6.67,9.09
PRI,O05,38,Calificada 2/3 (334/500),7.35,3.33,4.55
MC,O06,29,Calificada 2/3 (334/500),5.61,3.33,4.55
Independientes,O11,1,Calificada 2/3 (334/500),0.19,0.0,0.0
Morena,O01,263,3/4 (375/500),50.87,55.71,41.94
PAN,O04,73,3/4 (375/500),14.12,12.38,16.13
PT,O02,49,3/4 (375/500),9.48,10.71,13.98
PVEM,O03,64,3/4 (375/500),12.38,10.71,13.98
PRI,O05,38,3/4 (375/500),7.35,5.71,7.53
MC,O06,29,3/4 (375/500),5.61,4.05,5.38
Independientes,O11,1,3/4 (375/500),0.19,0.71,1.08
