#,Diputadas,Entidad,Distrito / Circunscripción
1,Vázquez Adasa Saray,Sinaloa,LXVI
2,Abreu Artiñano Rocío Adriana,Campeche,LXVI
3,Acosta Islas Anabel,Sonora,LXVI
4,Acosta Trujillo Juana,Guanajuato,LXVI
5,Aguilar Gil Lilia,Chihuahua,LXVI
6,Aguilera Claro Zaria,Estado de México,LXVI
7,Álvarez Nemer Mónica Angélica,Estado de México,LXVI
8,Anaya Martínez Josefina,Estado de México,LXVI
9,Anaya Villegas Sandra,Morelos,LXVI
10,Arellano Ávila Giselle Yunueen,Jalisco,LXVI
11,Armendáriz Guerra Carmen Patricia,Chiapas,LXVI
12,Armenta Oliveros Magaly,Veracruz,LXVI
13,Arredondo Ramos Abigail,Querétaro,LXVI
14,Arreola Lopez Haidyd,Jalisco,LXVI
15,Arreola Trinidad Azucena,Chiapas,LXVI
16,Arzola Vargas Xóchitl Teresa,Estado de México,LXVI
17,Ávila Flores Claudia Selene,Jalisco,LXVI
18,Ávila Vera Mildred Concepción,Quintana Roo,LXVI
19,Avilés Domínguez Leide,Estado de México,LXVI
20,Ayala Leyva Ana Elizabeth,Sinaloa,LXVI
21,Balderas Trejo Ana María,Estado de México,LXVI
22,Ballesteros García María de los Ángeles,Puebla,LXVI
23,Ballesteros Mancilla Laura Irais,Querétaro,LXVI
24,Barrera Maldonado Leticia,Estado de México,LXVI
25,Barrera Puc Rocío Natalí,Yucatán,LXVI
26,Barrera Vázquez Ariadna,Morelos,LXVI
27,Barreras Samaniego Diana Karina,Sonora,LXVI
28,Basto González Gabriela del Carmen,Campeche,LXVI
29,Bautista Peláez María del Carmen,Oaxaca,LXVI
30,Becerra Moreno Monica,Aguascalientes,LXVI
31,Beltrán Reyes Anay,Estado de México,LXVI
32,Benavides Cobos Gabriela,Colima,LXVI
33,Benítez Estrada Rufina,Querétaro,LXVI
34,Benítez Tiburcio Mariana,Oaxaca,LXVI
35,Bernal Martínez Mary Carmen,Michoacán,LXVI
36,Brown Figueredo Hilda Araceli,Baja California,LXVI
37,Burgos Hernández Anais Miriam,Estado de México,LXVI
38,Cabrera Lagunas Ma. del Carmen,Guerrero,LXVI
39,Calcaneo Constantino Karen Yaiti,Chiapas,LXVI
40,Carbajal Méndez Liliana,Estado de México,LXVI
41,Cárdenas Galván Clara,Jalisco,LXVI
42,Carranza Gómez Beatriz,Jalisco,LXVI
43,Carrasco Godínez Melva,Estado de México,LXVI
44,Carrazco Macías Olegaria,Sinaloa,LXVI
45,Castillo Gabino Diana,Estado de México,LXVI
46,Castillo Lozano Katia Alejandra,Jalisco,LXVI
47,Castillo Medina Nubia Iris,San Luis Potosí,LXVI
48,Castillo Quintana Elda Esther del Carmen,Campeche,LXVI
49,Castro Salinas Rosa María,Oaxaca,LXVI
50,Ceja García Xitlalic,Puebla,LXVI
51,Cervantes de la Cruz Elizabeth,Veracruz,LXVI
52,Chávez Rojas Olga Leticia,Nuevo León,LXVI
53,Chedraui Peralta Alejandra,Baja California,LXVI
54,Cornejo Gómez Astrit Viridiana,Hidalgo,LXVI
55,Corro Mendoza Margarita,Veracruz,LXVI
56,Cruz Jiménez Martha Aracely,Oaxaca,LXVI
57,Cruz Peláez Fatima Almendra,Puebla,LXVI
58,Cuevas Sánchez Cintia,Coahuila,LXVI
59,De la Luz Rivas María Isidra,Ciudad de México,LXVI
60,De La Vega Sánchez Alma Lidia,Hidalgo,LXVI
61,De la Vega Vargas Alma Rosa,Guanajuato,LXVI
62,De Los Santos Flores Casandra Prisilla,Tamaulipas,LXVI
63,del Muro García Ana Luisa,Zacatecas,LXVI
64,del Río Zenteno Karina Margarita,Chiapas,LXVI
65,Del Valle Ramírez Alejandra,Durango,LXVI
66,Díaz Vilchis Catalina,Estado de México,LXVI
67,Domínguez Nava Graciela,Sinaloa,LXVI
