#,Diputadas,Entidad,Distrito / Circunscripción
1,Abramo Masso Yerico,Coahuila,LXVI
2,Aguilar López José Alejandro,Tlaxcala,LXVI
3,Aguirre Gallardo José Javier,Guanajuato,LXVI
4,Alatriste Cantú Adolfo,Puebla,LXVI
5,Albores Gleason Roberto Armando,Chiapas,LXVI
6,Aldana Navarro Luis Humberto,Quintana Roo,LXVI
7,Alegría Gómez José Miguel,Chiapas,LXVI
8,Alonso Gutiérrez Agustín,Morelos,LXVI
9,Alonso Que Erubiel Lorenzo,Tabasco,LXVI
10,Alonso Reyes Miguel Alejandro,Zacatecas,LXVI
11,Álvarez López Jesús Emiliano,Ciudad de México,LXVI
12,Álvarez Villaseñor Raúl,Jalisco,LXVI
13,Ambriz Delgadillo Humberto,Aguascalientes,LXVI
14,Anaya Llamas José Guillermo,Coahuila,LXVI
15,Andrade Zurutuza Daniel,Hidalgo,LXVI
16,Antonio Altamirano Carol,Oaxaca,LXVI
17,Asaf Manjarrez Daniel,Ciudad de México,LXVI
18,Astudillo Suárez Ricardo,Querétaro,LXVI
19,Ávila Anaya Francisco Arturo Federico,Aguascalientes,LXVI
20,Ávila Villegas Eruviel,Estado de México,LXVI
21,Avilés Álvarez Alejandro,Oaxaca,LXVI
22,Azuara Zúñiga David,San Luis Potosí,LXVI
23,Baldenebro Arredondo Manuel de Jesús,Sonora,LXVI
24,Bautista Bravo Juan Angel,Estado de México,LXVI
25,Bautista Villegas Oscar,San Luis Potosí,LXVI
26,Benavides Castañeda José Alberto,Ciudad de México,LXVI
27,Betanzos Cortes Israel,Ciudad de México,LXVI
28,Blancas Mercado Bruno,Jalisco,LXVI
29,Blanco Bravo Cuauhtémoc,Ciudad de México,LXVI
30,Bolaños-Cacho Cué Raúl,Oaxaca,LXVI
31,Borboa Becerra Omar Antonio,Jalisco,LXVI
32,Borrego Adame Francisco Javier,Coahuila,LXVI
33,Braña Mojica José,Tamaulipas,LXVI
34,Brito Zapata Oscar Iván,Yucatán,LXVI
35,Caamal Cocom Venustiano,Yucatán,LXVI
36,Cabada Alvidrez Hector Armando,Chihuahua,LXVI
37,Calderón Díaz Alejandro,Guanajuato,LXVI
38,Calzada Mercado Mario,Querétaro,LXVI
39,Campos Plancarte Daniel,Ciudad de México,LXVI
40,Cantú Ramírez Andrés Mauricio,Nuevo León,LXVI
41,Canturosas Villarreal Carlos Enrique,Tamaulipas,LXVI
42,Carrillo Cubillas Mario Miguel,Puebla,LXVI
43,Carrillo Soberanis Juan Luis,Quintana Roo,LXVI
44,Carvajal Hidalgo Alejandro,Puebla,LXVI
45,Castellanos Polanco Favio,Jalisco,LXVI
46,Castillo García Gilberto Daniel,Jalisco,LXVI
47,Castillo López Eduardo,Puebla,LXVI
48,Castillo Morales Francisco Adrián,San Luis Potosí,LXVI
49,Castillo Pérez Carlos Alonso,Ciudad de México,LXVI
50,Castro Bello Christian Mishel,Campeche,LXVI
51,Castro Trenti Fernando Jorge,Baja California,LXVI
52,Castro Villarreal Antonio Lorenzo,Coahuila,LXVI
53,Chávez Velázquez Noel,Chihuahua,LXVI
54,Chimal García Fidel Daniel,Ciudad de México,LXVI
55,Corona Arvizu Armando,Estado de México,LXVI
56,Corral Ordóñez Jesús Roberto,Chihuahua,LXVI
57,Cortés Mendoza David Alejandro,Michoacán,LXVI
58,Coss y León Zúñiga Humberto,Veracruz,LXVI
59,Cota Cárdenas Manuel Alejandro,Baja California Sur,LXVI
60,Crespo Arroyo Ricardo,Hidalgo,LXVI
61,Cruz Lucatero José Luis,Michoacán,LXVI
